term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
institute neurological disorders,1442,1760,0.732,0.791,1.1,2.94
neurological disorders stroke,1442,1760,0.732,0.791,1.1,2.94
disorders stroke,1442,1760,0.732,0.791,1.1,2.94
sars-cov-2 spike protein,371,420,0.175,0.204,1.2,2.94
paste substance,90,87,0.036,0.049,1.4,2.94
paste,90,87,0.036,0.049,1.4,2.94
beta actin,71,66,0.027,0.039,1.4,2.94
rain,134,137,0.057,0.074,1.3,2.94
nucleic acid-based,113,113,0.047,0.062,1.3,2.94
professional competence,210,226,0.094,0.115,1.2,2.94
bleomycin,357,403,0.168,0.196,1.2,2.94
risk-benefit assessment,59,53,0.022,0.032,1.5,2.94
care units,1296,1575,0.655,0.711,1.1,2.94
intensive care units,1293,1571,0.654,0.709,1.1,2.94
hepatic tissue,98,96,0.04,0.054,1.3,2.94
behavioral trial,147,152,0.063,0.081,1.3,2.94
aromatic amino acids,90,87,0.036,0.049,1.4,2.94
aromatic amino,90,87,0.036,0.049,1.4,2.94
enlargement,59,53,0.022,0.032,1.5,2.94
internalized stigma,147,152,0.063,0.081,1.3,2.94
family complex,133,136,0.057,0.073,1.3,2.93
biological markers,20298,26222,10.911,11.138,1.0,2.93
pancreatic,2289,2839,1.181,1.256,1.1,2.93
nonprofit,261,287,0.119,0.143,1.2,2.93
nonprofit organizations,261,287,0.119,0.143,1.2,2.93
prognostic value,650,764,0.318,0.357,1.1,2.93
administrators,58,52,0.022,0.032,1.5,2.93
early life,1272,1545,0.643,0.698,1.1,2.93
collimator,80,76,0.032,0.044,1.4,2.93
enzyme inhibition,324,363,0.151,0.178,1.2,2.93
staphylococcus,1256,1525,0.635,0.689,1.1,2.93
aureus,1170,1416,0.589,0.642,1.1,2.93
reduction behavior,80,76,0.032,0.044,1.4,2.93
wound infection,276,305,0.127,0.151,1.2,2.93
hydrogel scaffold,80,76,0.032,0.044,1.4,2.93
microbial physiology,70,65,0.027,0.038,1.4,2.93
allergic reaction,230,250,0.104,0.126,1.2,2.93
legal blindness,58,52,0.022,0.032,1.5,2.93
coccidioides,120,121,0.05,0.066,1.3,2.93
solid,7406,9440,3.928,4.064,1.0,2.92
social environment,1502,1837,0.764,0.824,1.1,2.92
questionnaires,3301,4137,1.721,1.811,1.1,2.92
lymphoid,3244,4064,1.691,1.78,1.1,2.92
endothelial cells,5028,6363,2.648,2.759,1.0,2.92
monitoring recurrence,57,51,0.021,0.031,1.5,2.92
angeles,937,1123,0.467,0.514,1.1,2.92
counselor,536,623,0.259,0.294,1.1,2.92
tissue donors,260,286,0.119,0.143,1.2,2.92
alcoholic liver,519,602,0.25,0.285,1.1,2.92
medical technology,132,135,0.056,0.072,1.3,2.92
genetic processes,169,178,0.074,0.093,1.3,2.92
planet,405,462,0.192,0.222,1.2,2.92
chronic pain management,611,716,0.298,0.335,1.1,2.92
visuospatial,360,407,0.169,0.198,1.2,2.92
atf6,157,164,0.068,0.086,1.3,2.92
blinking,132,135,0.056,0.072,1.3,2.92
desmosomes,126,128,0.053,0.069,1.3,2.92
pathogen exposure,157,164,0.068,0.086,1.3,2.92
ciliary dyskinesias,97,95,0.04,0.053,1.3,2.92
primary ciliary dyskinesias,97,95,0.04,0.053,1.3,2.92
opportunistic,821,978,0.407,0.45,1.1,2.91
denoising,223,242,0.101,0.122,1.2,2.91
hepatocyte,2545,3168,1.318,1.396,1.1,2.91
neonatal receptor,125,127,0.053,0.069,1.3,2.91
ring,234,255,0.106,0.128,1.2,2.91
herpes simplex,218,236,0.098,0.12,1.2,2.91
chronic inflammatory,801,953,0.397,0.44,1.1,2.91
fetal brain,111,111,0.046,0.061,1.3,2.91
gastrocnemius muscle,79,75,0.031,0.043,1.4,2.91
gastrocnemius,79,75,0.031,0.043,1.4,2.91
locus ceruleus structure,435,499,0.208,0.239,1.1,2.91
ceruleus structure,435,499,0.208,0.239,1.1,2.91
allotransplant,111,111,0.046,0.061,1.3,2.91
ocular pathology,96,94,0.039,0.053,1.3,2.91
directed differentiation,264,291,0.121,0.145,1.2,2.91
dysmenorrhea,69,64,0.027,0.038,1.4,2.91
organ chip,238,260,0.108,0.131,1.2,2.9
crispr,8278,10574,4.4,4.542,1.0,2.9
life expectancy,1816,2237,0.931,0.996,1.1,2.9
reaction,8537,10910,4.54,4.684,1.0,2.9
supportive care,763,906,0.377,0.419,1.1,2.9
semiparametric,137,141,0.059,0.075,1.3,2.9
personalized predictions,335,377,0.157,0.184,1.2,2.9
signs symptoms,803,956,0.398,0.441,1.1,2.9
service engagement,117,118,0.049,0.064,1.3,2.9
physiologic monitoring,196,210,0.087,0.108,1.2,2.9
kidney disease,580,678,0.282,0.318,1.1,2.9
vivax,238,260,0.108,0.131,1.2,2.9
ventilator-associated pneumonia,78,74,0.031,0.043,1.4,2.9
ventilator-associated,78,74,0.031,0.043,1.4,2.9
mutualism,55,49,0.02,0.03,1.5,2.9
procedure,9221,11799,4.91,5.06,1.0,2.89
cell niche,579,677,0.282,0.318,1.1,2.89
perception,6346,8070,3.358,3.482,1.0,2.89
cerebrovascular,2523,3141,1.307,1.384,1.1,2.89
insulin-dependent,1604,1968,0.819,0.88,1.1,2.89
insulin-dependent diabetes mellitus,1604,1968,0.819,0.88,1.1,2.89
insulin-dependent diabetes,1604,1968,0.819,0.88,1.1,2.89
biomedical resource,195,209,0.087,0.107,1.2,2.89
caregiver,1616,1983,0.825,0.887,1.1,2.89
intestinal epithelium,1479,1809,0.753,0.812,1.1,2.89
myelin,1060,1279,0.532,0.582,1.1,2.89
excitatory,1600,1963,0.817,0.878,1.1,2.89
pecam1,178,189,0.079,0.098,1.2,2.89
pecam1 gene,178,189,0.079,0.098,1.2,2.89
mesenteric lymph node,130,133,0.055,0.071,1.3,2.89
mesenteric lymph,130,133,0.055,0.071,1.3,2.89
corpora,267,295,0.123,0.147,1.2,2.89
cardiac arrest,155,162,0.067,0.085,1.3,2.89
mid-career clinical scientist,277,307,0.128,0.152,1.2,2.89
mid-career clinical,277,307,0.128,0.152,1.2,2.89
demographic surveys,67,62,0.026,0.037,1.4,2.89
ethambutol,54,48,0.02,0.03,1.5,2.89
fimbriae,54,48,0.02,0.03,1.5,2.89
diabetic kidney disease,54,48,0.02,0.03,1.5,2.89
professional core,54,48,0.02,0.03,1.5,2.89
multilevel,845,1009,0.42,0.464,1.1,2.88
residence,1226,1489,0.62,0.673,1.1,2.88
mindfulness,713,844,0.351,0.391,1.1,2.88
circadian rhythms,1150,1393,0.58,0.631,1.1,2.88
biomedical engineering,2850,3561,1.482,1.564,1.1,2.88
hospital administrators,53,47,0.02,0.029,1.5,2.88
adverse events,406,464,0.193,0.223,1.2,2.88
national institute drug,1985,2454,1.021,1.089,1.1,2.88
institute drug abuse,1985,2454,1.021,1.089,1.1,2.88
institute drug,1985,2454,1.021,1.089,1.1,2.88
strip,109,109,0.045,0.06,1.3,2.88
behavioral intervention,261,288,0.12,0.143,1.2,2.88
delusions,148,154,0.064,0.081,1.3,2.88
obstetrical complication,94,92,0.038,0.052,1.3,2.88
retina blood,172,182,0.076,0.094,1.2,2.88
blood vessel structure,172,182,0.076,0.094,1.2,2.88
vessel structure,172,182,0.076,0.094,1.2,2.88
diabetes distress,136,140,0.058,0.075,1.3,2.88
shigella infections,94,92,0.038,0.052,1.3,2.88
internalized,148,154,0.064,0.081,1.3,2.88
vaccination protocol,53,47,0.02,0.029,1.5,2.88
targeted cancer,634,746,0.31,0.348,1.1,2.87
hour,7661,9777,4.068,4.204,1.0,2.87
status,8536,10912,4.541,4.684,1.0,2.87
feeding,3837,4831,2.01,2.105,1.0,2.87
pleural effusion,76,72,0.03,0.042,1.4,2.87
lactic acid,188,201,0.084,0.103,1.2,2.87
curve,671,792,0.33,0.368,1.1,2.87
cell free,517,601,0.25,0.284,1.1,2.87
relationships,687,812,0.338,0.377,1.1,2.87
obstructive,1656,2035,0.847,0.909,1.1,2.87
stress responses,76,72,0.03,0.042,1.4,2.87
cxcl10,285,317,0.132,0.156,1.2,2.87
cxcl10 gene,285,317,0.132,0.156,1.2,2.87
test strip,108,108,0.045,0.059,1.3,2.87
minimal residual,65,60,0.025,0.036,1.4,2.87
acyltransferase,171,181,0.075,0.094,1.2,2.87
bone aging,101,100,0.042,0.055,1.3,2.87
diego,101,100,0.042,0.055,1.3,2.87
spatial epidemiology,85,82,0.034,0.047,1.4,2.87
parabrachial,204,220,0.092,0.112,1.2,2.87
parabrachial nucleus,204,220,0.092,0.112,1.2,2.87
tetanus toxin,65,60,0.025,0.036,1.4,2.87
guinea,199,214,0.089,0.109,1.2,2.87
predictors,2097,2598,1.081,1.151,1.1,2.86
computational biology,1636,2010,0.836,0.898,1.1,2.86
text,2636,3288,1.368,1.446,1.1,2.86
membership,100,99,0.041,0.055,1.3,2.86
meta-analysis,1946,2405,1.001,1.068,1.1,2.86
disordered,92,90,0.037,0.05,1.3,2.86
nerve tissue,187,200,0.083,0.103,1.2,2.86
catheterization,368,418,0.174,0.202,1.2,2.86
researchers,170,180,0.075,0.093,1.2,2.86
ceruleus,435,500,0.208,0.239,1.1,2.86
locus ceruleus,435,500,0.208,0.239,1.1,2.86
pparg gene,51,45,0.019,0.028,1.5,2.86
nucleic acid structure,107,107,0.045,0.059,1.3,2.86
acid structure,107,107,0.045,0.059,1.3,2.86
photoplethysmography,75,71,0.03,0.041,1.4,2.86
lymphatic malformations,75,71,0.03,0.041,1.4,2.86
inferior vena,51,45,0.019,0.028,1.5,2.86
inferior vena cava,51,45,0.019,0.028,1.5,2.86
knee injuries,92,90,0.037,0.05,1.3,2.86
histologic,4896,6199,2.579,2.687,1.0,2.85
pediatrics,1233,1499,0.624,0.677,1.1,2.85
mucous membrane,3458,4344,1.808,1.897,1.0,2.85
cell-mediated cytolysis,175,186,0.077,0.096,1.2,2.85
leader,164,173,0.072,0.09,1.2,2.85
transgene delivery,74,70,0.029,0.041,1.4,2.85
plasmodium falciparum,801,955,0.397,0.44,1.1,2.85
noradrenaline transporter,50,44,0.018,0.027,1.5,2.85
violence,1497,1834,0.763,0.821,1.1,2.85
feature detection,146,152,0.063,0.08,1.3,2.85
neurogenetics,416,477,0.198,0.228,1.1,2.85
sustainable resource,99,98,0.041,0.054,1.3,2.85
technology assessment,248,273,0.114,0.136,1.2,2.84
acid metabolism,913,1096,0.456,0.501,1.1,2.84
usual care,191,205,0.085,0.105,1.2,2.84
practice management,301,337,0.14,0.165,1.2,2.84
acquired drug,243,267,0.111,0.133,1.2,2.84
acquired drug resistance,243,267,0.111,0.133,1.2,2.84
adjustment,375,427,0.178,0.206,1.2,2.84
hormone secretion,388,443,0.184,0.213,1.2,2.84
rewiring,63,58,0.024,0.035,1.4,2.84
maternal-fetal medicine,292,326,0.136,0.16,1.2,2.84
circadian rhythm,91,89,0.037,0.05,1.3,2.84
chronic autoimmune,157,165,0.069,0.086,1.3,2.84
multicenter neonatal,120,122,0.051,0.066,1.3,2.84
neonatal network,120,122,0.051,0.066,1.3,2.84
multicenter neonatal network,120,122,0.051,0.066,1.3,2.84
tuberculosis drugs,348,394,0.164,0.191,1.2,2.84
5-ht2a,73,69,0.029,0.04,1.4,2.84
malaise,113,114,0.047,0.062,1.3,2.84
demethylation,658,777,0.323,0.361,1.1,2.83
prognostic factor,396,453,0.188,0.217,1.2,2.83
urban population,300,336,0.14,0.165,1.2,2.83
cxcl9,156,164,0.068,0.086,1.3,2.83
cxcl9 gene,156,164,0.068,0.086,1.3,2.83
social capital,222,242,0.101,0.122,1.2,2.83
interspersed elements,48,42,0.017,0.026,1.5,2.83
gastric carcinogenesis,62,57,0.024,0.034,1.4,2.83
perinatal period,369,420,0.175,0.202,1.2,2.83
dual eligible,90,88,0.037,0.049,1.3,2.83
intervention young,48,42,0.017,0.026,1.5,2.83
bulla,237,260,0.108,0.13,1.2,2.83
covid-19 pneumonia,90,88,0.037,0.049,1.3,2.83
staphylococcus epidermidis,105,105,0.044,0.058,1.3,2.83
epidermidis,105,105,0.044,0.058,1.3,2.83
uremia,90,88,0.037,0.049,1.3,2.83
essays,48,42,0.017,0.026,1.5,2.83
muscle engineering,48,42,0.017,0.026,1.5,2.83
clinical trial,6269,7978,3.32,3.44,1.0,2.82
peripheral blood,4625,5851,2.435,2.538,1.0,2.82
whole blood,1186,1441,0.6,0.651,1.1,2.82
ineffective therapies,386,441,0.184,0.212,1.2,2.82
amines,648,765,0.318,0.356,1.1,2.82
campaign,161,170,0.071,0.088,1.2,2.82
india,669,791,0.329,0.367,1.1,2.82
abscopal,118,120,0.05,0.065,1.3,2.82
randomized placebo-controlled,173,184,0.077,0.095,1.2,2.82
computable,81,78,0.032,0.044,1.4,2.82
visual search,89,87,0.036,0.049,1.3,2.82
cardiovascular disorder prevention,478,554,0.231,0.262,1.1,2.82
habitats,341,386,0.161,0.187,1.2,2.82
xbp1,173,184,0.077,0.095,1.2,2.82
terpenes,161,170,0.071,0.088,1.2,2.82
channel blockers,241,265,0.11,0.132,1.2,2.82
isothiocyanate dextran,61,56,0.023,0.033,1.4,2.82
fluorescein isothiocyanate dextran,61,56,0.023,0.033,1.4,2.82
clutterings,72,68,0.028,0.04,1.4,2.82
vascular contributions,221,241,0.1,0.121,1.2,2.82
positive-pressure,47,41,0.017,0.026,1.5,2.82
primary ciliary,97,96,0.04,0.053,1.3,2.82
transplantation network,47,41,0.017,0.026,1.5,2.82
residual limb,47,41,0.017,0.026,1.5,2.82
recombination system,205,222,0.092,0.112,1.2,2.82
minority stressor,81,78,0.032,0.044,1.4,2.82
contribution,1476,1809,0.753,0.81,1.1,2.81
deposition,6122,7788,3.241,3.359,1.0,2.81
lymphocytic,1082,1310,0.545,0.594,1.1,2.81
tissue-specific gene,959,1155,0.481,0.526,1.1,2.81
tissue-specific gene expression,959,1155,0.481,0.526,1.1,2.81
autoimmune,5074,6432,2.676,2.784,1.0,2.81
oropharyngeal,473,548,0.228,0.26,1.1,2.81
translational regulation,468,542,0.226,0.257,1.1,2.81
skipping,143,149,0.062,0.078,1.3,2.81
multidrug resistance,60,55,0.023,0.033,1.4,2.81
avium complex,46,40,0.017,0.025,1.5,2.81
mycobacterium avium complex,46,40,0.017,0.025,1.5,2.81
liver cancer prevention,46,40,0.017,0.025,1.5,2.81
oral communication,137,142,0.059,0.075,1.3,2.81
symbiosis,255,282,0.117,0.14,1.2,2.81
xenon,46,40,0.017,0.025,1.5,2.81
chronic lung,631,744,0.31,0.346,1.1,2.81
medium chain,60,55,0.023,0.033,1.4,2.81
postnatal care,46,40,0.017,0.025,1.5,2.81
warming,46,40,0.017,0.025,1.5,2.81
filaggrin,46,40,0.017,0.025,1.5,2.81
comparative safety,96,95,0.04,0.053,1.3,2.81
adolescent medicine trials,60,55,0.023,0.033,1.4,2.81
medicine trials network,60,55,0.023,0.033,1.4,2.81
neural repair,96,95,0.04,0.053,1.3,2.81
talents,2285,2842,1.183,1.254,1.1,2.8
review committee,714,848,0.353,0.392,1.1,2.8
biochemical reaction,441,509,0.212,0.242,1.1,2.8
cortex hormones,774,923,0.384,0.425,1.1,2.8
adrenal cortex hormones,774,923,0.384,0.425,1.1,2.8
formulation,4139,5226,2.175,2.271,1.0,2.8
signs,865,1037,0.432,0.475,1.1,2.8
visual acuity,415,477,0.198,0.228,1.1,2.8
artificial nanoparticles,117,119,0.05,0.064,1.3,2.8
multi-level,219,239,0.099,0.12,1.2,2.8
talk,45,39,0.016,0.025,1.5,2.8
repetitive transcranial,177,189,0.079,0.097,1.2,2.8
repetitive transcranial magnetic,177,189,0.079,0.097,1.2,2.8
chronic autoimmune disease,154,162,0.067,0.085,1.3,2.8
atmospheric,130,134,0.056,0.071,1.3,2.8
multi-electrode arrays,366,417,0.174,0.201,1.2,2.8
gastrula,45,39,0.016,0.025,1.5,2.8
land cover,45,39,0.016,0.025,1.5,2.8
storage site,45,39,0.016,0.025,1.5,2.8
cell differentiation process,4233,5348,2.225,2.323,1.0,2.79
differentiation process,4233,5348,2.225,2.323,1.0,2.79
reporting,37601,48876,20.338,20.632,1.0,2.79
cellular stress,1583,1946,0.81,0.869,1.1,2.79
capillaries,1535,1885,0.784,0.842,1.1,2.79
complete blood,135,140,0.058,0.074,1.3,2.79
complete blood count,135,140,0.058,0.074,1.3,2.79
unnecessary surgery,95,94,0.039,0.052,1.3,2.79
home environment,500,582,0.242,0.274,1.1,2.79
calendar,383,438,0.182,0.21,1.2,2.79
jak1,187,201,0.084,0.103,1.2,2.79
jak1 gene,187,201,0.084,0.103,1.2,2.79
exon,165,175,0.073,0.091,1.2,2.79
exon skipping,141,147,0.061,0.077,1.3,2.79
hydrogel,181,194,0.081,0.099,1.2,2.79
pregnancy prevention,87,85,0.035,0.048,1.3,2.79
meibomian gland,44,38,0.016,0.024,1.5,2.79
meibomian,44,38,0.016,0.024,1.5,2.79
oscillometry,44,38,0.016,0.024,1.5,2.79
rheumatic diseases,59,54,0.022,0.032,1.4,2.79
blockade,2193,2725,1.134,1.203,1.1,2.78
mesenchymal stem,1009,1219,0.507,0.554,1.1,2.78
montana,324,366,0.152,0.178,1.2,2.78
bystander,122,125,0.052,0.067,1.3,2.78
clinical drug,122,125,0.052,0.067,1.3,2.78
long-term care,635,750,0.312,0.348,1.1,2.78
mll-rearranged,78,75,0.031,0.043,1.4,2.78
mucosal,1120,1359,0.565,0.615,1.1,2.78
sn-38,43,37,0.015,0.024,1.5,2.78
bile acid metabolism,164,174,0.072,0.09,1.2,2.78
ratiometric,191,206,0.086,0.105,1.2,2.78
apical,1344,1643,0.684,0.737,1.1,2.78
vibrio cholerae,207,225,0.094,0.114,1.2,2.78
cholerae,207,225,0.094,0.114,1.2,2.78
young adulthood,58,53,0.022,0.032,1.4,2.78
alcohol behavior,233,256,0.107,0.128,1.2,2.78
neuropsychopharmacology,43,37,0.015,0.024,1.5,2.78
paranoia,42,36,0.015,0.023,1.5,2.78
behavioral neurology,43,37,0.015,0.024,1.5,2.78
sperm function,94,93,0.039,0.052,1.3,2.78
long term recovery,86,84,0.035,0.047,1.3,2.78
term recovery,86,84,0.035,0.047,1.3,2.78
cancer center grant,3441,4328,1.801,1.888,1.0,2.77
center grant,3441,4328,1.801,1.888,1.0,2.77
american society,290,325,0.135,0.159,1.2,2.77
computational technique,511,596,0.248,0.28,1.1,2.77
intervention promote,108,109,0.045,0.059,1.3,2.77
oropharyngeal squamous,57,52,0.022,0.031,1.4,2.77
oropharyngeal squamous cell,57,52,0.022,0.031,1.4,2.77
career award,1268,1547,0.644,0.696,1.1,2.77
somatostatin receptor,68,64,0.027,0.037,1.4,2.77
stat,163,173,0.072,0.089,1.2,2.77
dnmt3b gene,68,64,0.027,0.037,1.4,2.77
dnmt3b,68,64,0.027,0.037,1.4,2.77
oncology service,77,74,0.031,0.042,1.4,2.77
nutritional supplementation,68,64,0.027,0.037,1.4,2.77
shps-1 protein,41,35,0.015,0.022,1.5,2.77
shps-1,41,35,0.015,0.022,1.5,2.77
stressful event,443,512,0.213,0.243,1.1,2.77
conserved,304,342,0.142,0.167,1.2,2.77
thermostability,146,153,0.064,0.08,1.3,2.77
gene replacement,285,319,0.133,0.156,1.2,2.77
weeks,174,186,0.077,0.095,1.2,2.77
chronic lung disease,585,688,0.286,0.321,1.1,2.77
ventricular hypertrophy,237,261,0.109,0.13,1.2,2.77
atopy,180,193,0.08,0.099,1.2,2.77
methionine sulfoxide,41,35,0.015,0.022,1.5,2.77
cerebral dominance,41,35,0.015,0.022,1.5,2.77
residual,2793,3496,1.455,1.533,1.1,2.76
tissue-specific,1018,1231,0.512,0.559,1.1,2.76
transplant,2907,3642,1.515,1.595,1.1,2.76
metabolic profile,722,859,0.357,0.396,1.1,2.76
s-adenosylmethionine,221,242,0.101,0.121,1.2,2.76
nephroblastoma,56,51,0.021,0.031,1.4,2.76
runx1,211,230,0.096,0.116,1.2,2.76
reward processing,609,718,0.299,0.334,1.1,2.76
underinsured,120,123,0.051,0.066,1.3,2.76
adaptations,151,159,0.066,0.083,1.3,2.76
illness impact,40,34,0.014,0.022,1.5,2.76
membrane nose,100,100,0.042,0.055,1.3,2.76
structure mucous membrane,100,100,0.042,0.055,1.3,2.76
mucous membrane nose,100,100,0.042,0.055,1.3,2.76
structure mucous,100,100,0.042,0.055,1.3,2.76
clinical investigator award,56,51,0.021,0.031,1.4,2.76
affected,56,51,0.021,0.031,1.4,2.76
evaluating impact,56,51,0.021,0.031,1.4,2.76
immunodominant antigens,40,34,0.014,0.022,1.5,2.76
histotripsy,40,34,0.014,0.022,1.5,2.76
thalamus,241,266,0.111,0.132,1.2,2.76
tissue mapping,326,369,0.154,0.179,1.2,2.76
prevention trials network,100,100,0.042,0.055,1.3,2.76
alveolitis,40,34,0.014,0.022,1.5,2.76
positive-pressure respiration,40,34,0.014,0.022,1.5,2.76
national clinical,397,456,0.19,0.218,1.1,2.75
molecular sieve,205,223,0.093,0.112,1.2,2.75
sieve chromatography,205,223,0.093,0.112,1.2,2.75
molecular sieve chromatography,205,223,0.093,0.112,1.2,2.75
multi-scale modeling,440,509,0.212,0.241,1.1,2.75
viral rebound,517,604,0.251,0.284,1.1,2.75
indirect calorimetry,194,210,0.087,0.106,1.2,2.75
nasal,604,712,0.296,0.331,1.1,2.75
double-strand,66,62,0.026,0.036,1.4,2.75
somatotype,55,50,0.021,0.03,1.4,2.75
beta particle,66,62,0.026,0.036,1.4,2.75
dyadic,150,158,0.066,0.082,1.3,2.75
community burden,92,91,0.038,0.05,1.3,2.75
tissue atlas,92,91,0.038,0.05,1.3,2.75
system diseases,3314,4167,1.734,1.818,1.0,2.74
prototype,4700,5955,2.478,2.579,1.0,2.74
epigenetic profiling,259,288,0.12,0.142,1.2,2.74
federally qualified center,448,519,0.216,0.246,1.1,2.74
qualified center,448,519,0.216,0.246,1.1,2.74
autoreactivity,490,571,0.238,0.269,1.1,2.74
prenatal,3055,3834,1.595,1.676,1.1,2.74
protein-coupled receptor signaling,448,519,0.216,0.246,1.1,2.74
liver inflammation,444,514,0.214,0.244,1.1,2.74
native hawaiian,352,401,0.167,0.193,1.2,2.74
biosecurity,112,114,0.047,0.061,1.3,2.74
screens,75,72,0.03,0.041,1.4,2.74
human metapneumovirus,54,49,0.02,0.03,1.5,2.74
leaky,155,164,0.068,0.085,1.2,2.74
kidney preservation,54,49,0.02,0.03,1.5,2.74
relationship-building,119,122,0.051,0.065,1.3,2.74
brains,75,72,0.03,0.041,1.4,2.74
targeted cancer therapy,629,744,0.31,0.345,1.1,2.73
hematopoietic stem cells,2278,2837,1.18,1.25,1.1,2.73
oral microbiome,333,378,0.157,0.183,1.2,2.73
psychosocial assessment,443,513,0.213,0.243,1.1,2.73
assessment care,443,513,0.213,0.243,1.1,2.73
psychosocial assessment care,443,513,0.213,0.243,1.1,2.73
replication stress,629,744,0.31,0.345,1.1,2.73
blood capillaries,1506,1851,0.77,0.826,1.1,2.73
alternative therapies,351,400,0.166,0.193,1.2,2.73
acetic acids,131,136,0.057,0.072,1.3,2.73
clinical subtypes,171,183,0.076,0.094,1.2,2.73
infant,7719,9867,4.106,4.236,1.0,2.73
metabolic clearance rate,160,170,0.071,0.088,1.2,2.73
clearance rate,160,170,0.071,0.088,1.2,2.73
metabolic clearance,160,170,0.071,0.088,1.2,2.73
medication nonadherence,166,177,0.074,0.091,1.2,2.73
nonadherence,166,177,0.074,0.091,1.2,2.73
microenvironments,74,71,0.03,0.041,1.4,2.73
beta-galactosidase,131,136,0.057,0.072,1.3,2.73
il-6,98,98,0.041,0.054,1.3,2.73
maternal child,515,602,0.25,0.283,1.1,2.73
diseases problems,74,71,0.03,0.041,1.4,2.73
icd-10,74,71,0.03,0.041,1.4,2.73
international statistical classification,74,71,0.03,0.041,1.4,2.73
statistical classification,74,71,0.03,0.041,1.4,2.73
classification diseases problems,74,71,0.03,0.041,1.4,2.73
tenth revision icd-10,74,71,0.03,0.041,1.4,2.73
international statistical,74,71,0.03,0.041,1.4,2.73
revision icd-10,74,71,0.03,0.041,1.4,2.73
tenth revision,74,71,0.03,0.041,1.4,2.73
problems tenth,74,71,0.03,0.041,1.4,2.73
diseases problems tenth,74,71,0.03,0.041,1.4,2.73
problems tenth revision,74,71,0.03,0.041,1.4,2.73
statistical classification diseases,74,71,0.03,0.041,1.4,2.73
prevention care,65,61,0.025,0.036,1.4,2.73
collection,16981,21930,9.125,9.318,1.0,2.72
carcinogenesis,2033,2524,1.05,1.116,1.1,2.72
neck,2022,2510,1.044,1.11,1.1,2.72
media,3652,4604,1.916,2.004,1.0,2.72
interrogation,142,149,0.062,0.078,1.3,2.72
efficacy trial,1106,1344,0.559,0.607,1.1,2.72
excess mortality,202,220,0.092,0.111,1.2,2.72
ribosome,877,1055,0.439,0.481,1.1,2.72
phagocytes,1527,1878,0.781,0.838,1.1,2.72
colorado cancer,64,60,0.025,0.035,1.4,2.72
johns hopkins,104,105,0.044,0.057,1.3,2.72
helminths,286,321,0.134,0.157,1.2,2.72
inflamed,130,135,0.056,0.071,1.3,2.72
transcription-coupled repair,53,48,0.02,0.029,1.5,2.72
tgfb1 gene,154,163,0.068,0.085,1.2,2.72
coffee,130,135,0.056,0.071,1.3,2.72
cardiac output,341,388,0.161,0.187,1.2,2.72
gper,82,80,0.033,0.045,1.4,2.72
gper gene,82,80,0.033,0.045,1.4,2.72
belt,53,48,0.02,0.029,1.5,2.72
kidney biopsy,363,415,0.173,0.199,1.2,2.72
corneal ulcer,53,48,0.02,0.029,1.5,2.72
neurofibrillary,1308,1600,0.666,0.718,1.1,2.72
heart allograft,148,156,0.065,0.081,1.3,2.72
arteriovenous malformation,97,97,0.04,0.053,1.3,2.72
dehydrogenase deficiency,64,60,0.025,0.035,1.4,2.72
postoperative delirium,124,128,0.053,0.068,1.3,2.72
emissions,53,48,0.02,0.029,1.5,2.72
ozone exposure,64,60,0.025,0.035,1.4,2.72
telephone session,53,48,0.02,0.029,1.5,2.72
care service,2522,3151,1.311,1.384,1.1,2.71
differential,3974,5020,2.089,2.181,1.0,2.71
choriomeningitis,242,268,0.112,0.133,1.2,2.71
lymphocytic choriomeningitis,242,268,0.112,0.133,1.2,2.71
neck cancer,1056,1281,0.533,0.579,1.1,2.71
fluid,4095,5176,2.154,2.247,1.0,2.71
cell maturation,711,847,0.352,0.39,1.1,2.71
premature menopause,117,120,0.05,0.064,1.3,2.71
financial cost,285,320,0.133,0.156,1.2,2.71
self-directed,73,70,0.029,0.04,1.4,2.71
amaze,170,182,0.076,0.093,1.2,2.71
transplantation immunology,89,88,0.037,0.049,1.3,2.71
information sciences,110,112,0.047,0.06,1.3,2.71
crush injury,63,59,0.025,0.035,1.4,2.71
prevention trials,110,112,0.047,0.06,1.3,2.71
adrenergic agonists,129,134,0.056,0.071,1.3,2.71
minimally verbal,52,47,0.02,0.029,1.5,2.71
secure,4469,5660,2.355,2.452,1.0,2.7
choriomeningitis virus,241,267,0.111,0.132,1.2,2.7
lymphocytic choriomeningitis virus,241,267,0.111,0.132,1.2,2.7
federally,452,525,0.218,0.248,1.1,2.7
neuroblastoma cell,201,219,0.091,0.11,1.2,2.7
combined vaccines,169,181,0.075,0.093,1.2,2.7
blood proteins,158,168,0.07,0.087,1.2,2.7
intractable,405,467,0.194,0.222,1.1,2.7
primary schools,72,69,0.029,0.04,1.4,2.7
motor symptom,440,510,0.212,0.241,1.1,2.7
crush,169,181,0.075,0.093,1.2,2.7
multi-electrode,366,419,0.174,0.201,1.2,2.7
aids vaccine,51,46,0.019,0.028,1.5,2.7
positron emission,426,493,0.205,0.234,1.1,2.69
lactate,235,260,0.108,0.129,1.2,2.69
pediatric oncologist,95,95,0.04,0.052,1.3,2.69
program effectiveness,351,401,0.167,0.193,1.2,2.69
carboxylesterase,50,45,0.019,0.027,1.5,2.69
