term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
traditionally attributed,48,7,0.005,0.032,6.6,13.12
physics-informed,72,15,0.01,0.049,4.7,13.12
stress-response pathways,48,7,0.005,0.032,6.6,13.12
disorder,4873,3982,2.729,3.292,1.2,13.1
tumor progression,613,356,0.244,0.414,1.7,13.1
metabolic flexibility,131,41,0.028,0.088,3.1,13.1
spatial transcriptomic,391,199,0.136,0.264,1.9,13.07
end-to-end,592,341,0.234,0.4,1.7,13.07
typically,4701,3830,2.624,3.175,1.2,13.07
high-dimensional,877,556,0.381,0.592,1.6,13.07
metabolomic profiling,171,62,0.042,0.116,2.7,13.06
spatial proteomics,171,62,0.042,0.116,2.7,13.06
rewiring,597,345,0.236,0.403,1.7,13.04
telomere-to-telomere,169,61,0.042,0.114,2.7,13.04
retained,1285,881,0.604,0.868,1.4,13.02
pathways therapeutic targets,51,8,0.005,0.034,6.2,13.02
temporally structured,51,8,0.005,0.034,6.2,13.02
reductions,1561,1107,0.759,1.054,1.4,13.01
clinical deployment,66,13,0.009,0.045,5.0,13.01
influenza h5n1,74,16,0.011,0.05,4.5,12.99
physiologically,1014,665,0.456,0.685,1.5,12.98
biomolecular,885,564,0.386,0.598,1.5,12.97
often overlook,84,20,0.014,0.057,4.1,12.97
emphasizing importance,209,84,0.058,0.141,2.5,12.96
disorder marked,54,9,0.006,0.036,5.8,12.96
grounding,79,18,0.012,0.053,4.3,12.96
pangenome,376,190,0.13,0.254,2.0,12.95
degradation,3987,3202,2.194,2.693,1.2,12.94
top-performing,109,31,0.021,0.074,3.5,12.94
