term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
host-microbe interactions,100,79,0.054,0.068,1.2,2.21
subjected,1239,1147,0.786,0.837,1.1,2.21
signature,2465,2324,1.592,1.665,1.0,2.21
bilingual,50,36,0.025,0.034,1.4,2.21
healthy mice,63,47,0.032,0.043,1.3,2.21
urban,1195,1105,0.757,0.807,1.1,2.21
precipitation,401,354,0.243,0.271,1.1,2.21
co-treatment,84,65,0.045,0.057,1.3,2.21
cells cells,507,453,0.31,0.342,1.1,2.21
increasing attention,100,79,0.054,0.068,1.2,2.21
emulate,100,79,0.054,0.068,1.2,2.21
weighted,1218,1127,0.772,0.823,1.1,2.21
proteins often,92,72,0.049,0.062,1.3,2.21
umap,108,86,0.059,0.073,1.2,2.21
local sequence,50,36,0.025,0.034,1.4,2.21
canopy,229,195,0.134,0.155,1.2,2.21
caspase activation,50,36,0.025,0.034,1.4,2.21
thrives,50,36,0.025,0.034,1.4,2.21
storage conditions,50,36,0.025,0.034,1.4,2.21
molecular interaction,84,65,0.045,0.057,1.3,2.21
intolerance,196,165,0.113,0.132,1.2,2.21
cognitively normal,154,127,0.087,0.104,1.2,2.21
cell accumulation,63,47,0.032,0.043,1.3,2.21
cell-cell interaction,63,47,0.032,0.043,1.3,2.21
solitary,174,145,0.099,0.118,1.2,2.21
surveillance systems,126,102,0.07,0.085,1.2,2.21
neutropenia,50,36,0.025,0.034,1.4,2.21
inhibitors target,50,36,0.025,0.034,1.4,2.21
motile cilia,77,59,0.04,0.052,1.3,2.21
cell-cell adhesion,117,94,0.064,0.079,1.2,2.21
nitrous oxide,63,47,0.032,0.043,1.3,2.21
valproic acid,50,36,0.025,0.034,1.4,2.21
fungal infection,84,65,0.045,0.057,1.3,2.21
micron-scale,63,47,0.032,0.043,1.3,2.21
bcaa,50,36,0.025,0.034,1.4,2.21
sphingolipid,154,127,0.087,0.104,1.2,2.21
mrna processing,77,59,0.04,0.052,1.3,2.21
bacterial lineages,50,36,0.025,0.034,1.4,2.21
resistance phenotypes,63,47,0.032,0.043,1.3,2.21
environmental filtering,50,36,0.025,0.034,1.4,2.21
first life,117,94,0.064,0.079,1.2,2.21
correlative,229,195,0.134,0.155,1.2,2.21
here bacterial,50,36,0.025,0.034,1.4,2.21
actin-binding,100,79,0.054,0.068,1.2,2.21
conserved domain,50,36,0.025,0.034,1.4,2.21
micro-computed,84,65,0.045,0.057,1.3,2.21
cryopreserved,100,79,0.054,0.068,1.2,2.21
dual-task,50,36,0.025,0.034,1.4,2.21
pathogen exposure,50,36,0.025,0.034,1.4,2.21
database searches,50,36,0.025,0.034,1.4,2.21
upright,92,72,0.049,0.062,1.3,2.21
muscle growth,50,36,0.025,0.034,1.4,2.21
conidia,50,36,0.025,0.034,1.4,2.21
failed induce,50,36,0.025,0.034,1.4,2.21
lifespans,92,72,0.049,0.062,1.3,2.21
targeting genes,63,47,0.032,0.043,1.3,2.21
disease-linked,50,36,0.025,0.034,1.4,2.21
p-bodies,50,36,0.025,0.034,1.4,2.21
metabolized,108,86,0.059,0.073,1.2,2.21
vitro silico,50,36,0.025,0.034,1.4,2.21
psychotic disorders,63,47,0.032,0.043,1.3,2.21
activity gene,63,47,0.032,0.043,1.3,2.21
secondary education,50,36,0.025,0.034,1.4,2.21
leafy,50,36,0.025,0.034,1.4,2.21
assistive,77,59,0.04,0.052,1.3,2.21
parkinson disease progressive,50,36,0.025,0.034,1.4,2.21
impact chronic,50,36,0.025,0.034,1.4,2.21
inequities,218,185,0.127,0.147,1.2,2.21
financial burden,50,36,0.025,0.034,1.4,2.21
rural communities,63,47,0.032,0.043,1.3,2.21
written informed,50,36,0.025,0.034,1.4,2.21
circular,738,671,0.46,0.499,1.1,2.2
protein-protein,1249,1157,0.793,0.844,1.1,2.2
neurite,280,242,0.166,0.189,1.1,2.2
binding interface,118,95,0.065,0.08,1.2,2.2
cassettes,101,80,0.055,0.068,1.2,2.2
deficiencies,332,290,0.199,0.224,1.1,2.2
morbidity mortality worldwide,85,66,0.045,0.057,1.3,2.2
keratinocyte,127,103,0.071,0.086,1.2,2.2
critically endangered,127,103,0.071,0.086,1.2,2.2
japonica,118,95,0.065,0.08,1.2,2.2
morphological molecular,101,80,0.055,0.068,1.2,2.2
suppressor cells,85,66,0.045,0.057,1.3,2.2
wasting,186,156,0.107,0.126,1.2,2.2
chemogenetic activation,85,66,0.045,0.057,1.3,2.2
erythroid,186,156,0.107,0.126,1.2,2.2
terminal repeat,70,53,0.036,0.047,1.3,2.2
cortical layer,70,53,0.036,0.047,1.3,2.2
chronic conditions,186,156,0.107,0.126,1.2,2.2
protein profiling,70,53,0.036,0.047,1.3,2.2
meningitis,145,119,0.082,0.098,1.2,2.2
social determinants,208,176,0.121,0.141,1.2,2.2
exon,580,522,0.358,0.392,1.1,2.19
pregnancies,295,256,0.175,0.199,1.1,2.19
glioblastoma cells,93,73,0.05,0.063,1.3,2.19
mitochondrial reactive oxygen,57,42,0.029,0.039,1.3,2.19
homeostatic,818,747,0.512,0.553,1.1,2.19
segregation,997,917,0.628,0.673,1.1,2.19
remained elusive,334,292,0.2,0.226,1.1,2.19
acetylation,499,446,0.306,0.337,1.1,2.19
mere,146,120,0.082,0.099,1.2,2.19
andes,78,60,0.041,0.053,1.3,2.19
snca,78,60,0.041,0.053,1.3,2.19
sequence-specific,209,177,0.121,0.141,1.2,2.19
all-atom simulations,57,42,0.029,0.039,1.3,2.19
lysates,198,167,0.114,0.134,1.2,2.19
macrophage populations,57,42,0.029,0.039,1.3,2.19
proteins known,177,148,0.101,0.12,1.2,2.19
fetal growth restriction,57,42,0.029,0.039,1.3,2.19
stool,376,331,0.227,0.254,1.1,2.19
thyroid cancer,57,42,0.029,0.039,1.3,2.19
enriched cell,57,42,0.029,0.039,1.3,2.19
disease ulcerative colitis,57,42,0.029,0.039,1.3,2.19
disease ulcerative,57,42,0.029,0.039,1.3,2.19
protein tyrosine,93,73,0.05,0.063,1.3,2.19
accelerometers,57,42,0.029,0.039,1.3,2.19
pre- postsynaptic,57,42,0.029,0.039,1.3,2.19
diagnostic utility,57,42,0.029,0.039,1.3,2.19
traditional chinese medicine,57,42,0.029,0.039,1.3,2.19
genes contributing,57,42,0.029,0.039,1.3,2.19
autoregulatory,57,42,0.029,0.039,1.3,2.19
factors genetic,57,42,0.029,0.039,1.3,2.19
borderline,93,73,0.05,0.063,1.3,2.19
embase cinahl,78,60,0.041,0.053,1.3,2.19
non-randomized,93,73,0.05,0.063,1.3,2.19
kinase,3475,3301,2.262,2.347,1.0,2.18
carries,440,391,0.268,0.297,1.1,2.18
tonic,247,212,0.145,0.167,1.1,2.18
clears,51,37,0.025,0.034,1.4,2.18
swelling,223,190,0.13,0.151,1.2,2.18
leave,271,234,0.16,0.183,1.1,2.18
male mice,584,526,0.36,0.394,1.1,2.18
limb,729,663,0.454,0.492,1.1,2.18
diseased,469,418,0.286,0.317,1.1,2.18
ghats,45,32,0.022,0.03,1.4,2.18
biosynthetic pathway,189,159,0.109,0.128,1.2,2.18
despite rapid,64,48,0.033,0.043,1.3,2.18
counteract,424,376,0.258,0.286,1.1,2.18
codex,51,37,0.025,0.034,1.4,2.18
striatal,552,496,0.34,0.373,1.1,2.18
construction,1047,965,0.661,0.707,1.1,2.18
forest cover,45,32,0.022,0.03,1.4,2.18
gene interaction,51,37,0.025,0.034,1.4,2.18
severity scores,64,48,0.033,0.043,1.3,2.18
diffraction limit,45,32,0.022,0.03,1.4,2.18
larval zebrafish,178,149,0.102,0.12,1.2,2.18
experimental setups,64,48,0.033,0.043,1.3,2.18
elephants,45,32,0.022,0.03,1.4,2.18
initiators,51,37,0.025,0.034,1.4,2.18
environmental responses,51,37,0.025,0.034,1.4,2.18
vlps,94,74,0.051,0.063,1.3,2.18
lifespan extension,71,54,0.037,0.048,1.3,2.18
crispr cas9 knockout,51,37,0.025,0.034,1.4,2.18
genome-wide screen,51,37,0.025,0.034,1.4,2.18
manipulated,500,447,0.306,0.338,1.1,2.18
design rules,51,37,0.025,0.034,1.4,2.18
engines,86,67,0.046,0.058,1.3,2.18
sperm motility,64,48,0.033,0.043,1.3,2.18
molecular techniques,64,48,0.033,0.043,1.3,2.18
cells persist,45,32,0.022,0.03,1.4,2.18
alleviation,86,67,0.046,0.058,1.3,2.18
processes shape,71,54,0.037,0.048,1.3,2.18
heterologous expression,200,169,0.116,0.135,1.2,2.18
imaging features,64,48,0.033,0.043,1.3,2.18
neotropics,45,32,0.022,0.03,1.4,2.18
g-quadruplex structures,45,32,0.022,0.03,1.4,2.18
multi-environment,45,32,0.022,0.03,1.4,2.18
atp-binding,128,104,0.071,0.086,1.2,2.18
hemolysis,71,54,0.037,0.048,1.3,2.18
southeast,309,269,0.184,0.209,1.1,2.18
choroidal,51,37,0.025,0.034,1.4,2.18
plant resistance,64,48,0.033,0.043,1.3,2.18
aggregation-prone,102,81,0.056,0.069,1.2,2.18
luminescent,45,32,0.022,0.03,1.4,2.18
features gene,51,37,0.025,0.034,1.4,2.18
amendment,45,32,0.022,0.03,1.4,2.18
soleus,94,74,0.051,0.063,1.3,2.18
cxcl13,51,37,0.025,0.034,1.4,2.18
neurotransmitter receptors,45,32,0.022,0.03,1.4,2.18
even closely,51,37,0.025,0.034,1.4,2.18
tp53 mutations,64,48,0.033,0.043,1.3,2.18
phosphorylation events,51,37,0.025,0.034,1.4,2.18
memory-related,71,54,0.037,0.048,1.3,2.18
human pdac,45,32,0.022,0.03,1.4,2.18
rainy,64,48,0.033,0.043,1.3,2.18
chinese medicine,64,48,0.033,0.043,1.3,2.18
excitation-inhibition balance,45,32,0.022,0.03,1.4,2.18
preprocessed,71,54,0.037,0.048,1.3,2.18
pipiens,45,32,0.022,0.03,1.4,2.18
computational fluid dynamics,71,54,0.037,0.048,1.3,2.18
phage genomes,71,54,0.037,0.048,1.3,2.18
design interpretation,51,37,0.025,0.034,1.4,2.18
linked human,71,54,0.037,0.048,1.3,2.18
denv infection,45,32,0.022,0.03,1.4,2.18
ad-like,45,32,0.022,0.03,1.4,2.18
nerve cord,64,48,0.033,0.043,1.3,2.18
motor regions,51,37,0.025,0.034,1.4,2.18
regained,45,32,0.022,0.03,1.4,2.18
multiple physiological,51,37,0.025,0.034,1.4,2.18
three-year,71,54,0.037,0.048,1.3,2.18
neurosurgical,102,81,0.056,0.069,1.2,2.18
burdensome,64,48,0.033,0.043,1.3,2.18
symptoms cognitive,45,32,0.022,0.03,1.4,2.18
methylation-based,64,48,0.033,0.043,1.3,2.18
triggering receptor,45,32,0.022,0.03,1.4,2.18
physiological differences,45,32,0.022,0.03,1.4,2.18
predicting disease,64,48,0.033,0.043,1.3,2.18
function often,51,37,0.025,0.034,1.4,2.18
immune pressure,45,32,0.022,0.03,1.4,2.18
dietary fiber,51,37,0.025,0.034,1.4,2.18
define mechanism,45,32,0.022,0.03,1.4,2.18
tomography angiography,45,32,0.022,0.03,1.4,2.18
physiological measures,45,32,0.022,0.03,1.4,2.18
impact survival,51,37,0.025,0.034,1.4,2.18
ideation,102,81,0.056,0.069,1.2,2.18
generalized estimating equations,71,54,0.037,0.048,1.3,2.18
middle-aged older adults,45,32,0.022,0.03,1.4,2.18
facilitators barriers,64,48,0.033,0.043,1.3,2.18
mass general brigham,45,32,0.022,0.03,1.4,2.18
base,1725,1614,1.106,1.165,1.1,2.17
delineated,325,284,0.195,0.22,1.1,2.17
innate immune responses,235,201,0.138,0.159,1.2,2.17
pulse,590,532,0.365,0.399,1.1,2.17
cell survival,554,498,0.341,0.374,1.1,2.17
surface plasmon,120,97,0.066,0.081,1.2,2.17
untranslated,272,235,0.161,0.184,1.1,2.17
colonies,605,546,0.374,0.409,1.1,2.17
displacement,536,481,0.33,0.362,1.1,2.17
complement,1312,1218,0.835,0.886,1.1,2.17
sepsis,474,423,0.29,0.32,1.1,2.17
long non-coding,339,297,0.204,0.229,1.1,2.17
reward learning,79,61,0.042,0.053,1.3,2.17
neoformans,120,97,0.066,0.081,1.2,2.17
skills,752,685,0.469,0.508,1.1,2.17
opportunistic,675,612,0.419,0.456,1.1,2.17
ecosystem functioning,169,141,0.097,0.114,1.2,2.17
protein composition,103,82,0.056,0.07,1.2,2.17
abdominal,397,351,0.241,0.268,1.1,2.17
southwestern,129,105,0.072,0.087,1.2,2.17
chloroquine,79,61,0.042,0.053,1.3,2.17
osteoarthritis,339,297,0.204,0.229,1.1,2.17
battery,311,271,0.186,0.21,1.1,2.17
form stable,103,82,0.056,0.07,1.2,2.17
immunotherapeutic,190,160,0.11,0.128,1.2,2.17
membrane contact,103,82,0.056,0.07,1.2,2.17
specific role,179,150,0.103,0.121,1.2,2.17
non-negative,129,105,0.072,0.087,1.2,2.17
compliant,129,105,0.072,0.087,1.2,2.17
dermatitis,139,114,0.078,0.094,1.2,2.17
segmentations,148,122,0.084,0.1,1.2,2.17
sequester,169,141,0.097,0.114,1.2,2.17
mental conditions,120,97,0.066,0.081,1.2,2.17
chikungunya virus,111,89,0.061,0.075,1.2,2.17
acute myocardial infarction,120,97,0.066,0.081,1.2,2.17
chatgpt,179,150,0.103,0.121,1.2,2.17
replicon,72,55,0.038,0.049,1.3,2.16
adult male,249,214,0.147,0.168,1.1,2.16
vaccine strain,65,49,0.034,0.044,1.3,2.16
lineage specification,87,68,0.047,0.059,1.3,2.16
user experience,72,55,0.038,0.049,1.3,2.16
ablating,65,49,0.034,0.044,1.3,2.16
omega-3,72,55,0.038,0.049,1.3,2.16
cellular proliferation,130,106,0.073,0.088,1.2,2.16
inflamed,238,204,0.14,0.161,1.1,2.16
crispr-cas9,556,500,0.343,0.376,1.1,2.16
although numerous,65,49,0.034,0.044,1.3,2.16
proteolysis,328,287,0.197,0.222,1.1,2.16
resnet50,40,28,0.019,0.027,1.4,2.16
vaccine design,202,171,0.117,0.136,1.2,2.16
prognosis treatment,72,55,0.038,0.049,1.3,2.16
molecular principles,40,28,0.019,0.027,1.4,2.16
alternating current stimulation,72,55,0.038,0.049,1.3,2.16
immune effector,58,43,0.029,0.039,1.3,2.16
gene expression human,87,68,0.047,0.059,1.3,2.16
stem-like cells,65,49,0.034,0.044,1.3,2.16
secretion systems,130,106,0.073,0.088,1.2,2.16
postmortem brains,40,28,0.019,0.027,1.4,2.16
healthy skin,40,28,0.019,0.027,1.4,2.16
formed through,72,55,0.038,0.049,1.3,2.16
signatures disease,40,28,0.019,0.027,1.4,2.16
gingival,40,28,0.019,0.027,1.4,2.16
bolstering,40,28,0.019,0.027,1.4,2.16
mutation status,65,49,0.034,0.044,1.3,2.16
complex patterns,112,90,0.062,0.076,1.2,2.16
intracellular signaling,202,171,0.117,0.136,1.2,2.16
climate scenarios,87,68,0.047,0.059,1.3,2.16
observed neural,40,28,0.019,0.027,1.4,2.16
cell functionality,40,28,0.019,0.027,1.4,2.16
revision,191,161,0.11,0.129,1.2,2.16
false discovery,314,274,0.188,0.212,1.1,2.16
generated first,58,43,0.029,0.039,1.3,2.16
epochs,149,123,0.084,0.101,1.2,2.16
duct,140,115,0.079,0.095,1.2,2.16
relaxation time,40,28,0.019,0.027,1.4,2.16
task-evoked,58,43,0.029,0.039,1.3,2.16
target specific,112,90,0.062,0.076,1.2,2.16
desmoplastic,40,28,0.019,0.027,1.4,2.16
machine-learning-based,58,43,0.029,0.039,1.3,2.16
liver cells,65,49,0.034,0.044,1.3,2.16
pancreatic cancer cells,72,55,0.038,0.049,1.3,2.16
sequencing powerful,40,28,0.019,0.027,1.4,2.16
mineralocorticoid,40,28,0.019,0.027,1.4,2.16
perturbational,40,28,0.019,0.027,1.4,2.16
ventricular assist,40,28,0.019,0.027,1.4,2.16
mice lack,58,43,0.029,0.039,1.3,2.16
aging project,40,28,0.019,0.027,1.4,2.16
lipidated,40,28,0.019,0.027,1.4,2.16
fusarium graminearum,40,28,0.019,0.027,1.4,2.16
receptors regulate,40,28,0.019,0.027,1.4,2.16
codon optimization,40,28,0.019,0.027,1.4,2.16
oligodendrocyte progenitor cells,40,28,0.019,0.027,1.4,2.16
hippocampal pyramidal,58,43,0.029,0.039,1.3,2.16
viral reservoir,40,28,0.019,0.027,1.4,2.16
co-culturing,65,49,0.034,0.044,1.3,2.16
cortex anterior,58,43,0.029,0.039,1.3,2.16
through clinical,65,49,0.034,0.044,1.3,2.16
generate highly,40,28,0.019,0.027,1.4,2.16
similarity network,40,28,0.019,0.027,1.4,2.16
factors impacting,40,28,0.019,0.027,1.4,2.16
minimal residual disease,40,28,0.019,0.027,1.4,2.16
chronic respiratory,72,55,0.038,0.049,1.3,2.16
thrombolysis,65,49,0.034,0.044,1.3,2.16
cardiogenic,58,43,0.029,0.039,1.3,2.16
essential prevent,40,28,0.019,0.027,1.4,2.16
plasma-derived,40,28,0.019,0.027,1.4,2.16
even limited,40,28,0.019,0.027,1.4,2.16
phaseolus vulgaris,40,28,0.019,0.027,1.4,2.16
size estimation,40,28,0.019,0.027,1.4,2.16
premature mortality,58,43,0.029,0.039,1.3,2.16
least hours,40,28,0.019,0.027,1.4,2.16
glycaemic,65,49,0.034,0.044,1.3,2.16
clinical workflow,40,28,0.019,0.027,1.4,2.16
descriptive inferential,40,28,0.019,0.027,1.4,2.16
review found,40,28,0.019,0.027,1.4,2.16
practice datalink,72,55,0.038,0.049,1.3,2.16
clinical practice datalink,72,55,0.038,0.049,1.3,2.16
discussions fgds,40,28,0.019,0.027,1.4,2.16
embase ovid,40,28,0.019,0.027,1.4,2.16
differential,5322,5094,3.491,3.595,1.0,2.15
dosage,613,554,0.38,0.414,1.1,2.15
iron homeostasis,122,99,0.068,0.082,1.2,2.15
protein stability,289,251,0.172,0.195,1.1,2.15
adjust,632,572,0.392,0.427,1.1,2.15
ccl2,131,107,0.073,0.088,1.2,2.15
ovaries,192,162,0.111,0.13,1.2,2.15
zebrafish danio,122,99,0.068,0.082,1.2,2.15
syncytium,46,33,0.023,0.031,1.4,2.15
co-localization,192,162,0.111,0.13,1.2,2.15
inhibitory activity,161,134,0.092,0.109,1.2,2.15
minor differences,52,38,0.026,0.035,1.3,2.15
functional characterisation,46,33,0.023,0.031,1.4,2.15
semantically,80,62,0.042,0.054,1.3,2.15
tobacco,447,398,0.273,0.302,1.1,2.15
loss-,46,33,0.023,0.031,1.4,2.15
klf4,80,62,0.042,0.054,1.3,2.15
synthesize,544,489,0.335,0.367,1.1,2.15
existing databases,52,38,0.026,0.035,1.3,2.15
family-level,46,33,0.023,0.031,1.4,2.15
well-tolerated,171,143,0.098,0.116,1.2,2.15
start sites,160,133,0.091,0.108,1.2,2.15
tandem mass spectrometry,193,163,0.112,0.13,1.2,2.15
carcinogen,52,38,0.026,0.035,1.3,2.15
likely originated,46,33,0.023,0.031,1.4,2.15
microbubbles,52,38,0.026,0.035,1.3,2.15
degradation through,52,38,0.026,0.035,1.3,2.15
middle cerebral artery,113,91,0.062,0.076,1.2,2.15
human ipscs,52,38,0.026,0.035,1.3,2.15
short-term memory lstm,46,33,0.023,0.031,1.4,2.15
phylogenetic inference,122,99,0.068,0.082,1.2,2.15
violate,52,38,0.026,0.035,1.3,2.15
cells altered,80,62,0.042,0.054,1.3,2.15
synaptic loss,52,38,0.026,0.035,1.3,2.15
biodiversity hotspots,46,33,0.023,0.031,1.4,2.15
although genetic,46,33,0.023,0.031,1.4,2.15
horticultural,46,33,0.023,0.031,1.4,2.15
journey,104,83,0.057,0.07,1.2,2.15
reliable identification,46,33,0.023,0.031,1.4,2.15
lateral sclerosis frontotemporal,104,83,0.057,0.07,1.2,2.15
sclerosis frontotemporal,104,83,0.057,0.07,1.2,2.15
specialized functions,52,38,0.026,0.035,1.3,2.15
derived single,46,33,0.023,0.031,1.4,2.15
scarring,122,99,0.068,0.082,1.2,2.15
neuroendocrine tumors,46,33,0.023,0.031,1.4,2.15
suprathreshold,46,33,0.023,0.031,1.4,2.15
gestures,46,33,0.023,0.031,1.4,2.15
targeting cancer,46,33,0.023,0.031,1.4,2.15
baseline differences,46,33,0.023,0.031,1.4,2.15
gene bodies,80,62,0.042,0.054,1.3,2.15
auditory evoked,46,33,0.023,0.031,1.4,2.15
adjunct,150,124,0.085,0.101,1.2,2.15
genes enrichment,46,33,0.023,0.031,1.4,2.15
cell-like,122,99,0.068,0.082,1.2,2.15
short linear motifs,46,33,0.023,0.031,1.4,2.15
macroecological,52,38,0.026,0.035,1.3,2.15
algebraic,52,38,0.026,0.035,1.3,2.15
interactions regulate,46,33,0.023,0.031,1.4,2.15
kinetic modeling,52,38,0.026,0.035,1.3,2.15
cycle phases,52,38,0.026,0.035,1.3,2.15
pre-stimulus,52,38,0.026,0.035,1.3,2.15
therapies target,52,38,0.026,0.035,1.3,2.15
vitro systems,80,62,0.042,0.054,1.3,2.15
engulf,52,38,0.026,0.035,1.3,2.15
ischemia reperfusion injury,46,33,0.023,0.031,1.4,2.15
partially restores,46,33,0.023,0.031,1.4,2.15
network further,46,33,0.023,0.031,1.4,2.15
genomes encode,46,33,0.023,0.031,1.4,2.15
outlet,52,38,0.026,0.035,1.3,2.15
assess impacts,46,33,0.023,0.031,1.4,2.15
activation induces,52,38,0.026,0.035,1.3,2.15
ffpe tissue,46,33,0.023,0.031,1.4,2.15
regulatory evolution,46,33,0.023,0.031,1.4,2.15
endemic settings,46,33,0.023,0.031,1.4,2.15
mechanoreceptors,52,38,0.026,0.035,1.3,2.15
monitoring treatment,46,33,0.023,0.031,1.4,2.15
clinical cancer,52,38,0.026,0.035,1.3,2.15
assess different,52,38,0.026,0.035,1.3,2.15
even controlling,46,33,0.023,0.031,1.4,2.15
even adjusting,52,38,0.026,0.035,1.3,2.15
insurance coverage,52,38,0.026,0.035,1.3,2.15
fgds,46,33,0.023,0.031,1.4,2.15
statistical plan,52,38,0.026,0.035,1.3,2.15
chromatin interactions,132,108,0.074,0.089,1.2,2.14
integrin,361,318,0.218,0.244,1.1,2.14
fibrillary,105,84,0.058,0.071,1.2,2.14
cells cancer,105,84,0.058,0.071,1.2,2.14
nerve fiber,59,44,0.03,0.04,1.3,2.14
mutations alter,96,76,0.052,0.065,1.2,2.14
tubule,172,144,0.099,0.116,1.2,2.14
chemical modifications,105,84,0.058,0.071,1.2,2.14
multidrug,345,303,0.208,0.233,1.1,2.14
transcriptional regulator,292,254,0.174,0.197,1.1,2.14
retrotransposons,162,135,0.093,0.109,1.2,2.14
pediatric brain,59,44,0.03,0.04,1.3,2.14
operations,404,358,0.245,0.273,1.1,2.14
inhibitory factor,59,44,0.03,0.04,1.3,2.14
delivery vehicles,59,44,0.03,0.04,1.3,2.14
other conditions,132,108,0.074,0.089,1.2,2.14
false positive rates,73,56,0.038,0.049,1.3,2.14
only through,59,44,0.03,0.04,1.3,2.14
gray matter volume,88,69,0.047,0.059,1.3,2.14
negative affect,73,56,0.038,0.049,1.3,2.14
trabecular bone,59,44,0.03,0.04,1.3,2.14
reviews,804,735,0.504,0.543,1.1,2.14
pink1,96,76,0.052,0.065,1.2,2.14
vivo functional,73,56,0.038,0.049,1.3,2.14
persistent infection,96,76,0.052,0.065,1.2,2.14
undernutrition,73,56,0.038,0.049,1.3,2.14
imaging quantitative,59,44,0.03,0.04,1.3,2.14
microvascular endothelial,96,76,0.052,0.065,1.2,2.14
acute ischemic,162,135,0.093,0.109,1.2,2.14
scoping review protocol,105,84,0.058,0.071,1.2,2.14
infrared,294,256,0.175,0.199,1.1,2.13
coli,2813,2664,1.825,1.9,1.0,2.13
endolysosomal,142,117,0.08,0.096,1.2,2.13
polar,518,465,0.319,0.35,1.1,2.13
ubiquitin ligase,392,347,0.238,0.265,1.1,2.13
posterior,1464,1365,0.935,0.989,1.1,2.13
pathway components,97,77,0.053,0.066,1.2,2.13
spatial structure,163,136,0.093,0.11,1.2,2.13
genes further,66,50,0.034,0.045,1.3,2.13
glucagon,97,77,0.053,0.066,1.2,2.13
proteoforms,81,63,0.043,0.055,1.3,2.13
forest ecosystems,66,50,0.034,0.045,1.3,2.13
metabolic profile,97,77,0.053,0.066,1.2,2.13
rois,142,117,0.08,0.096,1.2,2.13
autoregulation,89,70,0.048,0.06,1.3,2.13
activity functional,89,70,0.048,0.06,1.3,2.13
adaptive response,173,145,0.099,0.117,1.2,2.13
alterations gene,81,63,0.043,0.055,1.3,2.13
predisposes,123,100,0.069,0.083,1.2,2.13
traits like,66,50,0.034,0.045,1.3,2.13
dorsal ventral,133,109,0.075,0.09,1.2,2.13
activity promotes,66,50,0.034,0.045,1.3,2.13
genes conserved,81,63,0.043,0.055,1.3,2.13
tetramers,89,70,0.048,0.06,1.3,2.13
pleiotropy,281,244,0.167,0.19,1.1,2.13
extreme gradient,89,70,0.048,0.06,1.3,2.13
adult-onset,89,70,0.048,0.06,1.3,2.13
tear,66,50,0.034,0.045,1.3,2.13
clinical scores,66,50,0.034,0.045,1.3,2.13
trial will,97,77,0.053,0.066,1.2,2.13
embase scopus,81,63,0.043,0.055,1.3,2.13
mitotic entry,41,29,0.02,0.028,1.4,2.12
wherein,589,532,0.365,0.398,1.1,2.12
selection pressures,175,147,0.101,0.118,1.2,2.12
tension,591,534,0.366,0.399,1.1,2.12
neural crest,208,177,0.121,0.141,1.2,2.12
sequencing molecular,41,29,0.02,0.028,1.4,2.12
pre-treated,53,39,0.027,0.036,1.3,2.12
proportion cells,53,39,0.027,0.036,1.3,2.12
translation initiation,269,233,0.16,0.182,1.1,2.12
replay,106,85,0.058,0.072,1.2,2.12
american college,74,57,0.039,0.05,1.3,2.12
scrambling,41,29,0.02,0.028,1.4,2.12
gene-expression,124,101,0.069,0.084,1.2,2.12
seizure-like,41,29,0.02,0.028,1.4,2.12
non-polar,41,29,0.02,0.028,1.4,2.12
antibiofilm,41,29,0.02,0.028,1.4,2.12
glycolytic enzymes,41,29,0.02,0.028,1.4,2.12
regulation mediated,41,29,0.02,0.028,1.4,2.12
physiological roles,143,118,0.081,0.097,1.2,2.12
hydrogen peroxide,220,188,0.129,0.149,1.2,2.12
functional interplay,41,29,0.02,0.028,1.4,2.12
body composition,208,177,0.121,0.141,1.2,2.12
force field,124,101,0.069,0.084,1.2,2.12
superficial deep,41,29,0.02,0.028,1.4,2.12
anti-inflammatory activity,41,29,0.02,0.028,1.4,2.12
syncytiotrophoblast,41,29,0.02,0.028,1.4,2.12
dawn,53,39,0.027,0.036,1.3,2.12
strain diversity,41,29,0.02,0.028,1.4,2.12
experiments confirmed,106,85,0.058,0.072,1.2,2.12
enos,53,39,0.027,0.036,1.3,2.12
ribosome stalling,41,29,0.02,0.028,1.4,2.12
conducted large-scale,53,39,0.027,0.036,1.3,2.12
meier,74,57,0.039,0.05,1.3,2.12
protein substrates,53,39,0.027,0.036,1.3,2.12
prodromal,153,127,0.087,0.103,1.2,2.12
kinetic parameters,124,101,0.069,0.084,1.2,2.12
cells adopt,53,39,0.027,0.036,1.3,2.12
core protein,53,39,0.027,0.036,1.3,2.12
networks anns,41,29,0.02,0.028,1.4,2.12
planting,106,85,0.058,0.072,1.2,2.12
changing world,41,29,0.02,0.028,1.4,2.12
systematically analyze,41,29,0.02,0.028,1.4,2.12
cognition behavior,53,39,0.027,0.036,1.3,2.12
identification molecular,74,57,0.039,0.05,1.3,2.12
cell-free cfdna,106,85,0.058,0.072,1.2,2.12
cx43,41,29,0.02,0.028,1.4,2.12
spill,41,29,0.02,0.028,1.4,2.12
demonstrated inhibition,41,29,0.02,0.028,1.4,2.12
tumor cells ctcs,41,29,0.02,0.028,1.4,2.12
responses cancer,53,39,0.027,0.036,1.3,2.12
open-loop,41,29,0.02,0.028,1.4,2.12
artificial light,41,29,0.02,0.028,1.4,2.12
oceanographic,41,29,0.02,0.028,1.4,2.12
average treatment,41,29,0.02,0.028,1.4,2.12
tractable system,53,39,0.027,0.036,1.3,2.12
