record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
358,38510898,2024,Nationwide Case-Control Analysis of Merkel Cell Carcinoma and Associated Skin Cancer Comorbidities: An Examination of the All of Us Database,Cureus,3;5;6;12,,false,true,,,3:ICD|ICD-10; 5:neuroendocrine tumor|melanoma|Merkel cell|carcinoma|skin cancer|cancer|tumor; 6:income|Hispanic; 12:skin cancer|basal cell carcinoma|squamous cell carcinoma
359,39596587,2024,"Gene Variant Frequencies of IDO1, IDO2, TDO, and KMO in Substance Use Disorder Cohorts",Genes,2;3;4;6;14,,false,true,,,2:whole-genome sequencing|SNP|genomic; 3:cohort builder|ICD|workbench|notebook; 4:alcohol use disorder|depression|bipolar disorder|substance use disorder|schizophrenia|opioid use disorder|SUD|addiction|opioid|substance use|cannabis|bipolar|depressive|stress; 6:socioeconomic|underrepresented; 14:Tourette syndrome|neurodevelopment|Tourette
360,38639369,2024,Secondary Prevention in Patients With Stroke Versus Myocardial Infarction: Analysis of 2 National Cohorts,Journal of the American Heart Association,1;3;6;14;17,1.4-stroke-cardio;14.2-stroke-cerebro,false,true,AG;NS;TR,AG;NS;OD;TR,1:stroke|hypertension|atrial fibrillation|type 2 diabetes|cholesterol|blood pressure|dyslipidemia|LDL|diabetes|cardiology|cardiovascular|hyperlipidemia|myocardial infarction|statin; 3:electronic health record|ICD|EHR; 6:deprivation|disparity|access to care|minorities|equity|socioeconomic|underrepresented|disparities|Black participants|income|neighborhood|race and ethnicity|Hispanic; 14:stroke|neurological; 17:informed consent|recruitment
361,38622899,2024,Illuminating the landscape of high-level clinical trial opportunities in the All of Us Research Program,Journal of the American Medical Informatics Association : JAMIA,1;2;3;4;5;6;13;17,,false,true,LM;OD;TR,EY;HG;LM;NR;OD;TR,1:hypertension|type 2 diabetes|endocrine|diabetes|hyperlipidemia; 2:PheWAS|phenome-wide|association study; 3:Researcher Workbench|ICD|workbench|EHR|phecode; 4:depression|anxiety|major depressive disorder|pain|anxiety disorder|depressive|tobacco; 5:prostate cancer|cancer; 6:underrepresented groups|sexual and gender minorities|social determinants of health|access to care|minorities|racial and ethnic|underrepresented|rural|income|neighborhood|minority|race and ethnicity|housing; 13:asthma; 17:trust|community engagement|library|ethics|recruitment
362,38622117,2024,An ensemble penalized regression method for multi-ancestry polygenic risk prediction,Nature Communications,1;2;3;4;6;14;17,,false,true,CA;HG;OD,CA;HG;OD;TR,1:HDL|cholesterol|LDL|BMI|lipid|cardiovascular disease|CVD|cardiovascular; 2:PRS|GWAS|multi-ancestry|GWAS summary|genotype|SNP|genome-wide association|genome-wide|ancestry|imputation|association studies|genetic ancestry|loci|polygenic; 3:AUC|risk prediction|supervised learning; 4:depression; 6:African American|Latino|minority|Hispanic; 14:migraine; 17:informed consent|consent process
363,38618708,2024,Characterizing interstitial lung disease in patients with psoriasis: a cross-sectional analysis in the National Institutes of Health's All of Us Research Program,Clinical and Experimental Dermatology,9;12;13,,false,true,,,9:psoriasis; 12:psoriasis; 13:interstitial lung disease
364,38582238,2024,Risk of lymphoma in patients with atopic dermatitis: A case-control study in the All of Us database,Journal of the American Academy of Dermatology,5;12,,false,true,,,5:lymphoma; 12:dermatitis|atopic dermatitis
367,38683037,2024,How rural is All of Us? Comparing characteristics of rural participants in the National Institute of Health's All of Us Research Program to other national data sources,The Journal of Rural Health : Official Journal of the American Rural Health Association and the National Rural Health Care Association,6,,false,true,,,6:underrepresented|rural
368,38674269,2024,Influence of Health Insurance Types on Clinical Cancer Care Accessibility and Quality Using All of Us Database,"Medicina %28Kaunas, Lithuania%29",3;5;6;7;8,,false,true,,,3:OMOP|missing data|EHR; 5:cancer; 6:Medicaid|African American|education level|socioeconomic|disparities|income|minority; 7:Fitbit; 8:COVID-19
374,38591407,2024,Asian and Hispanic/Latino Patients Are High Risk for Melasma Development in a Cross-Sectional Cohort Study Using the All of Us Database,Journal of Cutaneous Medicine and Surgery,6;12,,false,true,,,6:Latino|Hispanic; 12:melasma
375,38661598,2024,Carpal Tunnel Syndrome and Transthyretin Amyloidosis in the All of Us Research Program,Mayo Clinic Proceedings,1;6;14,,false,true,HL;OD,HL;OD;TR,1:hypertension|heart failure|obesity|diabetes|cardiac|statin; 6:race and ethnicity|Hispanic; 14:carpal tunnel
376,38653897,2024,Racial/Ethnic Disparities: Discrimination's Impact on Health-Related Quality of Life-An All of Us Cancer Survivors' Cross-sectional Study,Journal of Racial and Ethnic Health Disparities,3;4;5;6;17,,false,true,,,3:workbench|missing data; 4:pain|mental health; 5:cancer survivors|cancer survivor|cancer; 6:health disparities|equity|uninsured|socioeconomic|disparities|income|marginalized|discrimination|Hispanic|housing; 17:patient-reported|library
377,38674446,2024,Association between MCU Gene Polymorphisms with Obesity: Findings from the All of Us Research Program,Genes,1;2;3;4;6;17,,false,true,OD,OD;TR,1:hypertension|type 2 diabetes|obesity|HDL|cholesterol|blood pressure|LDL|insulin resistance|BMI|diabetes|hypertensive|lipid|vascular disease; 2:SNP|genomic|ancestry|genetic risk|admixture|polygenic; 3:workbench|data quality|SNOMED; 4:smoking|stress; 6:health disparities|African American|minorities|racial and ethnic|disparities; 17:biospecimen|informed consent
378,38696234,2024,Harnessing Consumer Wearable Digital Biomarkers for Individualized Recognition of Postpartum Depression Using the All of Us Research Program Data Set: Cross-Sectional Study,JMIR mHealth and uHealth,1;3;4;6;7;14;15;17,,false,true,HG;MH;OD,HG;MH;OD;TR,1:stroke|diabetes|cardiovascular; 3:Researcher Workbench|electronic health record|workbench|random forest|EHR|machine learning|model performance; 4:depression|loneliness|antidepressant|mental health|depressive; 6:underrepresented|disparities; 7:Fitbit|wearable|physical activity|sedentary|biometric; 14:stroke; 15:maternal health|pregnancy|postpartum|maternal; 17:informed consent|consent process
381,35854430,2022,Prevalence of Primary Liver Cancer is Affected by Place of Birth in Hispanic People Residing in the United States: All of Us Research Program Report,The American Surgeon,5;6,,false,true,,,5:liver cancer|cancer; 6:underrepresented|disparities|Hispanic
