record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
1538,40211040,2025,Multi-ancestry GWAS identifies 16 novel Alzheimer disease risk loci,Nature Reviews. Neurology,2;11,,false,true,,,2:GWAS|multi-ancestry|loci|ancestry; 11:Alzheimer
1540,40246588,2025,A Cross-Sectional Analysis of Psychosocial Mediators Between Discrimination and Health-Related Quality of Life Among Sexual and Gender Minority Cancer Survivors,Psycho-Oncology,4;5;6,,false,true,,,4:depression|anxiety|loneliness|stress|psychosocial|mental health|psychological; 5:cancer survivors|cancer; 6:minority|discrimination|SGM|gender minority
1548,40250282,2025,Quantifying the independent impact of social determinants of health and posttraumatic stress disorder on resource utilization and health outcomes in civilians,Psychiatry Research,4;6,,false,true,,,4:PTSD|well-being|stress; 6:social determinants of health|discrimination
1549,40255935,2024,Descriptor: Synthetic Genomic Dataset With Diverse Ancestry (SynGen6),IEEE Data Descriptions,2,,false,true,GM;LM,GM;HG;LM,2:ancestry|genomic
1550,40277232,2025,Low Vitamin D Levels & Alopecia: A Cross-sectional Study of the All of Us Research Program,Clinical and Experimental Dermatology,12,,false,true,,,12:alopecia
1551,40278924,2025,"Decreased physical activity in lupus patients, an analysis of biometric data from the all of us database",Archives of Dermatological Research,7;9,,false,true,,,7:physical activity|biometric; 9:lupus
1552,40294562,2025,"'We know what to do for you, but we can't do it:' How actionability is coordinated and contested in genomics research",Social Science & Medicine %281982%29,2,,false,true,,,2:genomics|genomic
1562,40266617,2025,Detection Bias in EHR-Based Research on Clinical Exposures and Dementia,JAMA Network Open,1;3;4;11,,false,true,,,1:type 2 diabetes|hypertension|diabetes; 3:electronic health record|EHR; 4:depression; 11:dementia
1564,40297065,2024,"Low Income, Younger Age, Female Sex, and Poor Mental Health Are Risk Factors for Diminished Access to Care Among Patients With Meniscus Tears","Arthroscopy, Sports Medicine, and Rehabilitation",4;6,,false,true,,,4:mental health; 6:socioeconomic|income|access to care|underrepresented
1566,40268942,2025,JointPRS: A data-adaptive framework for multi-population genetic risk prediction incorporating genetic correlation,Nature Communications,2;3,,false,true,HG,HG;OD,2:GWAS|genome-wide|genome-wide association|genetic risk|association study|GWAS summary; 3:risk prediction
1567,40205062,2025,Timing and trajectory of BCR::ABL1-driven chronic myeloid leukaemia,Nature,2;5,,false,true,,,2:whole-genome sequencing|genomic; 5:cancer|CML
1568,40263246,2025,UKB-MDRMF: a multi-disease risk and multimorbidity framework based on UK biobank data,Nature Communications,,,false,true,,,
1593,40305039,2025,Cardiomyopathy-Associated Gene Variants in Atrial Fibrillation,JAMA Cardiology,1;2,,false,true,,,1:atrial fibrillation|heart failure|arrhythmia; 2:polygenic score|polygenic
1595,40292753,2025,Recent developments in population biobanks and the genetic architecture of complex disease,Human Molecular Genetics,2,,false,true,VA,,2:whole-genome sequencing|Mendelian randomization|genome-wide|association studies|genome-wide association|structural variant
1598,40305011,2025,Genetic Testing in Early-Onset Atrial Fibrillation,JAMA Cardiology,1,,false,true,,,1:atrial fibrillation
1599,40312552,2025,Uncovering shared genetic features between inflammatory bowel disease and systemic lupus erythematosus,Scientific Reports,2;9,,false,true,ES;OD,AG;ES;OD;TR,2:GWAS|heritability|SNP|genome-wide|association study|genomic; 9:autoimmune disease|IBD|lupus|inflammatory bowel disease|systemic lupus|SLE|autoimmune
1600,40313110,2025,Food Insecurity in the United States LGBTQ+ Population: A Cross-Sectional Analysis of All of Us Data,Food and Nutrition Bulletin,6,,false,true,,,6:LGBTQ|bisexual|race and ethnicity|transgender|lesbian|gay|food insecurity
1602,40317750,2025,Association of Dysphonia in Patients With Dysphagia in the United States: A National Database Study,The Laryngoscope,1;5;13;14;18,,false,true,OD,OD,1:stroke; 5:head and neck cancer|cancer; 13:COPD; 14:stroke; 18:dysphonia
1603,40319023,2025,"Rare genetic variation in PTPRB is associated with central serous chorioretinopathy, varicose veins and glaucoma",Nature Communications,18,,false,true,EY;OD;VA,EY;OD;TR,18:glaucoma|eye disease|retinal
