record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
128,34295127,2021,6;8,FA1;FA7,2,0,Care and Precision Medicine Research in the Time of COVID-19
129,35469045,2022,7,,0,1,Wearable fitness tracker use in federally qualified health center patients: strategies to improve the health of all of us using digital health devices
130,34158555,2021,1;3;6,FA1;FA7;FA8,3,0,Hypertension prevalence in the All of Us Research Program among groups traditionally underrepresented in medical research
131,34139858,2021,1;6;14,FA1;FA7;FA8,3,0,Stroke Disparities Among Nonracial Minorities in the All of Us Research Program
132,34128970,2021,8,FA1,1,0,"Antibodies to Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) in All of Us Research Program Participants, 2 January to 18 March 2020"
133,33942535,2021,5;6;12,FA1;FA7;FA8,3,0,Health care access and utilization among adult cancer survivors: Results from the National Institutes of Health 'All of Us' Research Program
134,35931217,2022,9;12,FA1;FA7,2,0,Association of autoimmune comorbidities with lichen planus: A United States-based case-control study in the All of Us research program
135,38504598,2024,4;6;14,FA1;FA5;FA7,3,0,"Low-Income, Poor Physical Health, Poor Mental Health, and Other Social Risk Factors Are Associated With Decreased Access to Care in Patients With Carpal Tunnel Syndrome"
136,33617706,2021,17,FA4;FA7,2,0,Engaging African-Americans in Research in the Era of Precision Medicine: An All of Us Research Program Initiative
138,33497675,2021,3;18,FA1;FA7,2,0,Predictive Analytics for Glaucoma Using Data From the All of Us Research Program
139,33404595,2021,3,,0,1,Comparison of family health history in surveys vs electronic health record data mapped to the observational medical outcomes partnership data model in the All of Us Research Program
140,35997514,2022,3;6,FA7,1,0,Tinea pedis in underrepresented groups: All of Us database analysis
142,33275082,2020,17,FA4;FA7,2,0,Assessment of the All of Us research program's informed consent process
143,35641135,2022,3,,0,1,Forecasting the future clinical events of a patient through contrastive learning
144,36096320,2022,1;4;13,FA1;FA5;FA8,3,0,Predictors of Unrelieved Symptoms in All of Us Research Program Participants With Chronic Conditions
