record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
115,37560908,2023,"Genetic relationships between high blood eosinophil count, asthma susceptibility, and asthma severity",2;13,,,,NHGRI(0.500);NHLBI(0.500)
118,34505903,2021,Characterizing phenotypic abnormalities associated with high-risk individuals developing lung cancer using electronic health records from the All of Us researcher workbench,2;3;5,CA;OD;TR,CA;OD;TR,CA;OD;TR,NHGRI(0.333);NLM(0.333);NCI(0.333)
119,35505219,2022,Revisiting the Latino Epidemiologic Paradox: an Analysis of Data from the All of Us Research Program,1;6,OD,NIMHD(0.50);NHLBI(0.35);NIDDK(0.15),OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
120,35472083,2022,Demographic differences in willingness to share electronic health records in the All of Us Research Program,3;6;17,OD,NLM(0.33);NIMHD(0.33);NIH-Wide(0.23);NHGRI(0.10),OD,NLM(0.333);NIMHD(0.333);NIH-Wide(0.233);NHGRI(0.100)
121,34431358,2021,Cardiovascular Health Disparities in Racial and Other Underrepresented Groups: Initial Results From the All of Us Research Program,1;6,AG;NS;OD;TR,AG;NS;OD;TR,AG;NS;OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
122,36974749,2023,Single Nucleotide Polymorphism rs9277336 Controls the Nuclear Alpha Actinin 4-Human Leukocyte Antigen-DPA1 Axis and Pulmonary Endothelial Pathophenotypes in Pulmonary Arterial Hypertension,1;2;13,HL;OD,HL;OD,HL;OD;TR,NHLBI(0.567);NHGRI(0.333);NIDDK(0.100)
123,35704625,2022,Associations between healthcare utilization and access and diabetic retinopathy complications using All of Us nationwide survey data,1;6;18,EY;OD,EY;OD,DE;EY;OD;TR,NIMHD(0.333);NEI(0.333);NHLBI(0.233);NIDDK(0.100)
124,34363612,2021,Prevalence of granuloma annulare in the United States: a cross-sectional study in the All of Us Research Program,12,AI;TR,AI;TR,AI;OD;TR,NIAMS(0.700);NCI(0.300)
125,34358277,2021,"Racial, ethnic, and gender differences in obesity and body fat distribution: An All of Us Research Program demonstration project",1;6,ES;HL;OD,ES;HL;OD,AG;ES;HL;OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
126,34333076,2021,Comorbidities associated with granuloma annulare: A case-control study in the All of Us research program,12,AI;TR,AI;TR,AI;OD;TR,NIAMS(0.700);NCI(0.300)
127,35721456,2021,Novel Association between Opioid Use and Increased Risk of Retinal Vein Occlusion Using the National Institutes of Health All of Us Research Program,1;4;6;18,OD,NIMHD(0.25);NEI(0.25);NHLBI(0.17);NIMH(0.17);NIDDK(0.07);NIDA(0.05);NIAAA(0.03),DE;OD;TR,NIMHD(0.250);NEI(0.250);NHLBI(0.175);NIMH(0.175);NIDDK(0.075);NIDA(0.050);NIAAA(0.025)
128,34295127,2021,Care and Precision Medicine Research in the Time of COVID-19,6;8,OD,NIMHD(0.50);NIAID(0.50),OD,NIMHD(0.500);NIAID(0.500)
129,35469045,2022,Wearable fitness tracker use in federally qualified health center patients: strategies to improve the health of all of us using digital health devices,7,,,,NIBIB(0.500);NHLBI(0.200);NIDDK(0.150);NIMH(0.150)
130,34158555,2021,Hypertension prevalence in the All of Us Research Program among groups traditionally underrepresented in medical research,1;3;6,ES;OD,ES;OD,AG;ES;OD;TR,NLM(0.333);NIMHD(0.333);NHLBI(0.233);NIDDK(0.100)
131,34139858,2021,Stroke Disparities Among Nonracial Minorities in the All of Us Research Program,1;6;14,AG;NS;TR,AG;NS;TR,AG;NS;OD;TR,NIMHD(0.333);NINDS(0.333);NHLBI(0.233);NIDDK(0.100)
132,34128970,2021,"Antibodies to Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) in All of Us Research Program Participants, 2 January to 18 March 2020",8,OD,NIAID(1.00),OD;TR,NIAID(1.000)
133,33942535,2021,Health care access and utilization among adult cancer survivors: Results from the National Institutes of Health 'All of Us' Research Program,5;6;12,,,,NCI(0.433);NIMHD(0.333);NIAMS(0.233)
134,35931217,2022,Association of autoimmune comorbidities with lichen planus: A United States-based case-control study in the All of Us research program,9;12,OD,NIAMS(0.60);NIAID(0.25);NCI(0.15),OD;TR,NIAMS(0.600);NIAID(0.250);NCI(0.150)
135,38504598,2024,"Low-Income, Poor Physical Health, Poor Mental Health, and Other Social Risk Factors Are Associated With Decreased Access to Care in Patients With Carpal Tunnel Syndrome",4;6;14,OD,NIMHD(0.33);NINDS(0.33);NIMH(0.23);NIDA(0.07);NIAAA(0.03),OD;TR,NIMHD(0.333);NINDS(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
136,33617706,2021,Engaging African-Americans in Research in the Era of Precision Medicine: An All of Us Research Program Initiative,17,OD,NIH-Wide(0.70);NHGRI(0.30),OD,NIH-Wide(0.700);NHGRI(0.300)
138,33497675,2021,Predictive Analytics for Glaucoma Using Data From the All of Us Research Program,3;18,LM;OD,LM;OD,DE;ES;LM;OD;TR,NLM(0.500);NEI(0.500)
139,33404595,2021,Comparison of family health history in surveys vs electronic health record data mapped to the observational medical outcomes partnership data model in the All of Us Research Program,3,HL;OD,HL;OD,HL;OD;TR,NLM(1.000)
140,35997514,2022,Tinea pedis in underrepresented groups: All of Us database analysis,3;6,,,,NLM(0.500);NIMHD(0.500)
142,33275082,2020,Assessment of the All of Us research program's informed consent process,17,OD,NIH-Wide(0.70);NHGRI(0.30),OD,NIH-Wide(0.700);NHGRI(0.300)
143,35641135,2022,Forecasting the future clinical events of a patient through contrastive learning,3,OD;TR,OD;TR,OD;TR,NLM(1.000)
144,36096320,2022,Predictors of Unrelieved Symptoms in All of Us Research Program Participants With Chronic Conditions,1;4;13,NR;OD,NR;OD,NR;OD;TR,NHLBI(0.567);NIMH(0.233);NIDDK(0.100);NIDA(0.067);NIAAA(0.033)
145,36715356,2023,The association of anxiety with granuloma annulare: a case-control study of the National Institutes of Health 'All of Us' research programme,4;9;12;13,,,,NIAMS(0.300);NHLBI(0.250);NIMH(0.175);NIAID(0.125);NCI(0.075);NIDA(0.050);NIAAA(0.025)
146,36120878,2022,Establishing a National Engagement Strategy for Recruiting Asian Americans and Other Minorities into Biomedical Research,6;17,OD,NIMHD(0.50);NIH-Wide(0.35);NHGRI(0.15),OD,NIMHD(0.500);NIH-Wide(0.350);NHGRI(0.150)
147,35662804,2022,Social Determinants of Health Data Availability for Patients with Eye Conditions,6;18,EY;OD,EY;OD,DE;EY;OD;TR,NIMHD(0.500);NEI(0.500)
148,35659155,2022,Systemic diseases associated with a diagnosis of achalasia: A case-control study with the All of Us research program,,AG;AT;OD;TR,AG;AT;OD;TR,AG;AI;AR;AT;CA;DA;DK;HL;MD;NR;NS;OD;TR,NIA(0.333);NCCIH(0.333);NCATS(0.333)
151,38499963,2024,The association between neighborhood social and built environment on loneliness among young adults with cancer,4;5;6;19,,,,NCI(0.250);NIMHD(0.250);NIEHS(0.250);NIMH(0.175);NIDA(0.050);NIAAA(0.025)
