pubmed_id,year,title,journal,themes,subthemes,publication_types
32833022,2020,Genetic determinants of increased body mass index mediate the effect of smoking on increased risk for type 2 diabetes but not coronary artery disease.,Human molecular genetics,1;2;4,,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32775763,2020,Increasing access to clinical research using an innovative mobile recruitment approach: The (MoRe) concept.,Contemporary clinical trials communications,17,,Journal Article
32676590,2020,Educational and Ethical Considerations for Genetic Test Implementation Within Health Care Systems.,Network and systems medicine,2;5,,Journal Article;Review
32541925,2020,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Nature genetics,1;2,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32492095,2020,Association of OPRM1 Functional Coding Variant With Opioid Use Disorder: A Genome-Wide Association Study.,JAMA psychiatry,2;4,,"Journal Article;Research Support, N.I.H., Extramural"
32477652,2020,Standardized Architecture for a Mega-Biobank Phenomic Library: The Million Veteran Program (MVP).,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,17,,Journal Article
32300774,2020,Genetic predisposition to smoking in relation to 14 cardiovascular diseases.,European heart journal,1;2;4;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32243820,2020,Genotyping Array Design and Data Quality Control in the Million Veteran Program.,American journal of human genetics,2;3,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
31906708,2020,"Reproducible Genetic Risk Loci for Anxiety: Results From ∼200,000 Participants in the Million Veteran Program.",The American journal of psychiatry,2;4,,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
31902601,2020,Egg consumption and risk of coronary artery disease in the Million Veteran Program.,"Clinical nutrition (Edinburgh, Scotland)",1,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
31872970,2020,Genome-wide association study of cognitive performance in U.S. veterans with schizophrenia or bipolar disorder.,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",2;4,,"Journal Article;Multicenter Study;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
31676865,2019,Genome-wide association analysis of venous thromboembolism identifies new risk loci and genetic overlap with arterial vascular disease.,Nature genetics,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
31594949,2019,International meta-analysis of PTSD genome-wide association studies identifies sex- and ancestry-specific genetic risk loci.,Nature communications,2;4;11,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
31451708,2019,Mapping eGFR loci to the renal transcriptome and phenome in the VA Million Veteran Program.,Nature communications,1;2,,"Journal Article;Observational Study;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
31358989,2019,"Genome-wide association study of post-traumatic stress disorder reexperiencing symptoms in >165,000 US veterans.",Nature neuroscience,2;4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
31337231,2019,Association of APOL1 Risk Alleles With Cardiovascular Disease in Blacks in the Million Veteran Program.,Circulation,1;2;14,,"Journal Article;Research Support, U.S. Gov't, P.H.S."
31285632,2019,Genome-wide association study of peripheral artery disease in the Million Veteran Program.,Nature medicine,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
31279615,2020,Fried food consumption and risk of coronary artery disease: The Million Veteran Program.,"Clinical nutrition (Edinburgh, Scotland)",1,,"Journal Article;Observational Study;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
31258967,2019,Genetically-guided algorithm development and sample size optimization for age-related macular degeneration cases and controls in electronic health records from the VA Million Veteran Program.,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,3;18,,Journal Article
31253243,2019,Gender Differences in Demographic and Health Characteristics of the Million Veteran Program Cohort.,Women's health issues : official publication of the Jacobs Institute of Women's Health,1;4;14;17,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
31151762,2019,"Genome-wide Association Study of Maximum Habitual Alcohol Intake in >140,000 U.S. European and African American Veterans Yields Novel Risk Loci.",Biological psychiatry,2;4;6,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
31106297,2018,Effects of Genetic Variants Associated with Familial Hypercholesterolemia on Low-Density Lipoprotein-Cholesterol Levels and Cardiovascular Outcomes in the Million Veteran Program.,Circulation. Genomic and precision medicine,1;2;10,,"Journal Article;Multicenter Study;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
30940813,2019,"Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations.",Nature communications,2;4,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30914216,2020,"Omega-3 supplement use, fish intake, and risk of non-fatal coronary artery disease and ischemic stroke in the Million Veteran Program.","Clinical nutrition (Edinburgh, Scotland)",1;14,14.2-stroke-cerebro,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
30767326,2019,Genomics of posttraumatic stress disorder in veterans: Methods and rationale for Veterans Affairs Cooperative Study #575B.,International journal of methods in psychiatric research,2;4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
