pubmed_id,year,title,journal,themes,subthemes,publication_types
32826890,2020,CORE GREML for estimating covariance between random effects in linear mixed models for complex trait analyses.,Nature communications,2,,"Journal Article;Research Support, Non-U.S. Gov't"
32826294,2020,Large-Scale Analyses Provide No Evidence for Gene-Gene Interactions Influencing Type 2 Diabetes Risk.,Diabetes,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32818884,2020,The integration of transcriptome-wide association study and mRNA expression profiling data to identify candidate genes and gene sets associated with dental caries.,Archives of oral biology,2,,Journal Article
32818802,2020,"Apolipoprotein E (APOE) genotype-associated disease risks: a phenome-wide, registry-based, case-control study utilising the UK Biobank.",EBioMedicine,1;2;11,,Journal Article;Meta-Analysis
32818716,2020,Polygenic risk score-analysis of thromboembolism in patients with acute lymphoblastic leukemia.,Thrombosis research,1;2;5,,Journal Article
32817712,2020,"Multimorbidity, polypharmacy, and COVID-19 infection within the UK Biobank cohort.",PloS one,1;8,,Journal Article
32817390,2020,"Sleep, major depressive disorder, and Alzheimer disease: A Mendelian randomization study.",Neurology,2;4;7;10;11;13,,"Journal Article;Research Support, Non-U.S. Gov't"
32814959,2020,Risk factors for positive and negative COVID-19 tests: a cautious and in-depth analysis of UK biobank data.,International journal of epidemiology,6;8,,"Journal Article;Research Support, Non-U.S. Gov't"
32814947,2020,Meat intake and cancer risk: prospective analyses in UK Biobank.,International journal of epidemiology,5,,"Journal Article;Research Support, Non-U.S. Gov't"
32814899,2020,Genetic and functional insights into the fractal structure of the heart.,Nature,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32814579,2020,Automated quantification of myocardial tissue characteristics from native T1 mapping using neural networks with uncertainty-based quality-control.,Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,1,,"Journal Article;Research Support, Non-U.S. Gov't;Validation Study"
32808324,2020,Supervariants identification for breast cancer.,Genetic epidemiology,2;5,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32808034,2020,The causal effects of health conditions and risk factors on social and socioeconomic outcomes: Mendelian randomization in UK Biobank.,International journal of epidemiology,1;2;4;5;6;10;12;13;14,,"Journal Article;Research Support, Non-U.S. Gov't"
32807930,2020,Wearable-device-measured physical activity and future health risk.,Nature medicine,7,,"Journal Article;Research Support, Non-U.S. Gov't"
32805626,2020,Effects of tumour necrosis factor on cardiovascular disease and cancer: A two-sample Mendelian randomization study.,EBioMedicine,1;2;5;10;14;15,,Journal Article
32805247,2020,Impact of road traffic noise on obesity measures: Observational study of three European cohorts.,Environmental research,1;6;19,,"Journal Article;Observational Study;Research Support, Non-U.S. Gov't"
32805014,2020,Habitual Coffee and Tea Consumption and Cardiometabolic Biomarkers in the UK Biobank: The Role of Beverage Types and Genetic Variation.,The Journal of nutrition,1,,"Journal Article;Research Support, N.I.H., Extramural"
32804441,2020,Whole-brain functional connectivity correlates of obesity phenotypes.,Human brain mapping,1,,"Journal Article;Research Support, Non-U.S. Gov't"
32803253,2020,"Comment on ""ApoE e4e4 Genotype and Mortality With COVID-19 in UK Biobank"" by Kuo et al.","The journals of gerontology. Series A, Biological sciences and medical sciences",2;8,,Journal Article;Comment
32801349,2021,Long-term antibiotic use during early life and risks to mental traits: an observational study and gene-environment-wide interaction study in UK Biobank cohort.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4,,Journal Article;Observational Study
32801043,2020,Association between systemic sclerosis and risk of lung cancer: results from a pool of cohort studies and Mendelian randomization analysis.,Autoimmunity reviews,2;5;10,,Journal Article;Meta-Analysis
32797154,2020,"Response to Comment on ""ApoE e4e4 Genotype and Mortality With COVID-19 in UK Biobank"" by Kuo et al.","The journals of gerontology. Series A, Biological sciences and medical sciences",2;8,,Journal Article;Comment
32791893,2020,An Exposure-Wide and Mendelian Randomization Approach to Identifying Modifiable Factors for the Prevention of Depression.,The American journal of psychiatry,2;4;10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
