pubmed_id,year,title,journal,themes,subthemes,publication_types
40400971,2025,Causal relationship between serum metalloproteinase 12 levels and aortic dissection and aortic aneurysm: a bidirectional Mendelian randomization study.,Journal of thoracic disease,1;2;10,,Journal Article
40399540,2025,Association between metabolic syndrome and low back pain: a two-sample Mendelian randomization study.,Scientific reports,1;2;4;10,,Journal Article
40397292,2025,"Role of the ""inflammation-immunity-metabolism"" network in non-small cell lung cancer: a multi-omics analysis.",Discover oncology,2;5,,Journal Article
40392315,2025,Integration of transcriptome-wide association study and gene-based association analysis identifies candidate genes for Hodgkin lymphoma.,Journal of cancer research and clinical oncology,2;5,,Journal Article
40391094,2025,Immune Cells Phenotypes and Causal Relationship with Acne Vulgaris: Insights from Mendelian Randomization.,"Clinical, cosmetic and investigational dermatology",2;10;12,,Journal Article
40389789,2025,The causal association between psoriasis and 32 types of cancer: a mendelian randomization study.,Discover oncology,2;5;9;10;12,,Journal Article
40388735,2025,"Post-traumatic stress disorder, attention deficit and hyperactivity disorder, and 24 gastrointestinal diseases: Evidence from Mendelian randomization analysis.",Medicine,2;4;5;10,,Journal Article
40376529,2025,Causal role of immune cells in male infertility: a Mendelian randomization study.,Translational andrology and urology,2;10;15,,Journal Article
40372048,2025,Chronic hepatitis B infection and pre-eclampsia/eclampsia: a Mendelian randomisation study.,Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,2;8;10;15,,Journal Article
40369498,2025,Exploring glucagon-like peptide-1 receptor agonists as potential disease-modifying agent in psychiatric and neurodevelopmental conditions: evidence from a drug target Mendelian randomization.,BMC psychiatry,1;2;4;10,,Journal Article
40369022,2025,Dissecting immune-mediated pathways in rheumatoid arthritis: A multivariate mediation analysis of antibodies and circulating proteins.,Scientific reports,2;8;9,,Journal Article
40368142,2025,Genetic study of von Willebrand factor antigen levels ≤ 50 IU/dL identifies variants associated with increased risk of von Willebrand disease and bleeding.,Journal of thrombosis and haemostasis : JTH,1;2;10;15,,Journal Article
40364530,2025,Causal Inference of Different Smoke Exposure Statuses and Influenza Risk: Insights From a Mendelian Randomization Study.,The clinical respiratory journal,2;4;10,,Journal Article
40361162,2025,Targeted multi-layer analysis of PANoptosis-associated genes in the etiology of chronic kidney disease.,Human genomics,1;2,,Journal Article
40360801,2025,"Causal relationships between depression, anxiety, and myopia: a two-sample Mendelian randomization study.","Eye (London, England)",2;4;10;18,,Journal Article
40359939,2025,Role of X chromosome and dosage-compensation mechanisms in complex trait genetics.,American journal of human genetics,2,,"Journal Article;Research Support, Non-U.S. Gov't"
40355763,2025,Causal links between plasma lipidome and ovarian cancer risk: evidence from Mendelian randomization.,Discover oncology,1;2;5;10,,Journal Article
40355193,2025,Plasma proteins and different onset subtype of COPD: Proteome-wide Mendelian randomization study and co-localization analyses.,Medicine,2;10;13,,Journal Article
40355178,2025,Insights from bidirectional Mendelian randomization: Evaluating the influence of circulating inflammatory cytokines on prostatitis.,Medicine,2;10,,Journal Article
40354008,2025,"Multi-omics identify ribosome related causal genes methylation, splicing, and expression in prostate cancer.",Discover oncology,2;5,,Journal Article
40352360,2025,Assessing the Causal Relationship between Chronic Obstructive Pulmonary Disease and Tuberculosis: A Mendelian Randomization Study.,International journal of chronic obstructive pulmonary disease,2;8;10;13,,"Journal Article;Research Support, Non-U.S. Gov't"
40351677,2025,Metformin and Risks of Aortic Aneurysm and Aortic Dissection: A Mendelian Randomization Study.,Reviews in cardiovascular medicine,1;2;10;16,,Journal Article
40351332,2025,The Relationship Between Serum Uric Acid and Gynecologic Cancer Risk: A Mendelian Randomization Study.,International journal of women's health,2;5;10;15,,Journal Article
40350422,2025,Micronutrients and skin cancer risk: a Mendelian randomization study.,World journal of surgical oncology,2;5;10;12,,Journal Article
40349828,2025,Mendelian randomization analysis identifies ERAP1 and IL23R as potential drug targets for ankylosing spondylitis.,Life sciences,2;9;10,,Journal Article
40348923,2025,"Blood metabolites, protein regulatory networks and their roles in pan-cancer: a mendelian randomisation study.",Discover oncology,2;5;10,,Journal Article
40348582,2025,GEO combined with quantitative protein trait loci identify causative proteins in hypertrophic cardiomyopathy.,ESC heart failure,1;2,,Journal Article
40348210,2025,Association between the gut microbiota and cystitis: A two-sample mendelian randomization study combined with the GEO database.,Microbial pathogenesis,2;10,,Journal Article
40346920,2025,Multiomic Underpinnings of Drug Targets for Intracranial Aneurysm: Evidence From Diversified Mendelian Randomization.,CNS neuroscience & therapeutics,1;2;10,,Journal Article
40346281,2025,"A phenome-wide Mendelian randomization analysis reveals the genetical associations of myocardial infarction, angina pectoris and Alzheimer's disease with lung cancer.",Scientific reports,1;2;5;10;11;13,,Journal Article
40345928,2025,Causal relationship and mediating role between depression and cognitive performance.,The journal of prevention of Alzheimer's disease,2;4;11,,Journal Article
40339110,2025,"Genomic Correlations, Shared Loci, and Drug Targets Between Polycystic Ovary Syndrome and Asthma: Insights From Genome-wide Association Analysis.",The Journal of clinical endocrinology and metabolism,2;13;15,,Journal Article
40338389,2025,The relationship between cathepsins and nasopharyngeal carcinoma: a Mendelian randomization analysis.,Discover oncology,2;5;10,,Journal Article
40335896,2025,Associations between psoriasis and risk of 33 cancers: a Mendelian randomization study.,BMC cancer,2;5;9;10;12,,Journal Article;Meta-Analysis
40333164,2025,Investigating Correlation Between Gut Microbiota and Rheumatoid Arthritis Subtypes by Mendelian Randomization.,"Pathogens (Basel, Switzerland)",2;9;10,,Journal Article
40324614,2025,Decoding the Lipid-POI connection: The mediating role of inflammatory factors.,Chemistry and physics of lipids,1;2,,Journal Article
40324257,2025,Exploring the causal association between fatty acid-binding proteins and anaphylactic shock due to adverse reactions to medications: A two-sample Mendelian randomization study.,Medicine,2;10,,Journal Article
40324243,2025,"Mendelian randomization analysis of smoking, BMI, and nonalcoholic fatty liver disease in European descent populations.",Medicine,1;2;4;10,,Journal Article
40324241,2025,Insights into modifiable risk factors of retinal vascular occlusion: A Mendelian randomization study.,Medicine,1;2;10;18,,Journal Article
40322556,2025,Exploring the Potential Link Between Autoimmune Diseases and Pan-Cancer: A Multidatabase Mendelian Randomization Analysis.,Journal of immunology research,1;2;5;9;10;14,,Journal Article;Meta-Analysis
40321604,2025,Uncovering Causal Links Between Dietary Habits and Cardiovascular Diseases.,Food science & nutrition,1;2;14,,Journal Article
40321089,2025,Causal Associations of Obstructive Sleep Apnea With Cancer Risk: A Mendelian Randomization Study.,Brain and behavior,2;5;10;13;15,,Journal Article
40319023,2025,"Rare genetic variation in PTPRB is associated with central serous chorioretinopathy, varicose veins and glaucoma.",Nature communications,18,,Journal Article;Meta-Analysis
40317917,2025,The Causal Effect of Iron Traits on Risk of Hypertrophic Scarring: A Two-Sample Mendelian Randomization Study.,Journal of cosmetic dermatology,2;10,,Journal Article
40316856,2025,Integrating analysis of multi-omics summary data identifies novel plasma protein biomarkers and drug targets for bladder cancer.,Discover oncology,2;5,,Journal Article
40316594,2025,The causal relationships between body composition and heart failure: A two-sample mendelian randomization study.,Scientific reports,1;2;10,,Journal Article
40314641,2025,Genetic Evidence Supporting a Causal Association Between mTORC1-Dependent Circulating Protein Levels and Diabetic Retinopathy.,Translational vision science & technology,1;2;18,,Journal Article
40313291,2025,Genome-Wide Assessment of Pleiotropy Across >1000 Traits from Global Biobanks.,medRxiv : the preprint server for health sciences,2,,Journal Article;Preprint
40312834,2025,"Causal Associations Between Lipids, NPC1L1, and Liver Cancer Risk: Insights From Mendelian Randomization and Bioinformatics.",Journal of gastroenterology and hepatology,1;2;5;10,,Journal Article
40311803,2025,Association of Ischemic Stroke with Zoster Risk: A Mendelian Randomized Study.,World neurosurgery,1;2;10;14,14.2-stroke-cerebro,Journal Article
40306283,2025,"Widespread recessive effects on common diseases in a cohort of 44,000 British Pakistanis and Bangladeshis with high autozygosity.",American journal of human genetics,1;2,,Journal Article
40305610,2025,Clonal hematopoiesis is associated with distinct rheumatoid arthritis phenotypes.,Science advances,1;2;9,,Journal Article
40303911,2025,No Bidirectional Causal Relationship Between Traumatic Brain Injury and Parkinson's Disease: A Two-Sample Mendelian Randomization Study.,Health science reports,2;10;11;14,,Journal Article
40301889,2025,Monoallelic TYROBP deletion is a novel risk factor for Alzheimer's disease.,Molecular neurodegeneration,11,,"Journal Article;Research Support, N.I.H., Extramural"
40300556,2025,Glucosamine supplementation contributes to reducing the risk of type 2 diabetes: Evidence from Mendelian randomization combined with a meta-analysis.,The Journal of international medical research,1;2;10,,Journal Article;Meta-Analysis
40298034,2025,Role of oxysterol 4β-hydroxycholesterol and liver X receptor alleles in pre-eclampsia.,Annals of medicine,1;15,,Journal Article
40295474,2025,Dissecting cross-population polygenic heterogeneity across respiratory and cardiometabolic diseases.,Nature communications,1;2;9;13,,Journal Article
40295238,2025,Bidirectional Mendelian randomization and potential mechanistic insights into the causal relationship between gut microbiota and malignant mesothelioma.,Medicine,2;4;5;10,,Journal Article
40295233,2025,Causal relationships between brain functional networks and tinnitus: A bidirectional 2-sample Mendelian randomization study.,Medicine,2;10;18,,Journal Article
40294825,2025,Exploring the potential causal association of gut microbiota on panic and conduct disorder: A two-sample Mendelian randomization approach.,Journal of affective disorders,2;4;10,,Journal Article
40291381,2025,"A genome-wide association study identifies novel genetic variants associated with neck or shoulder pain in the UK biobank (N = 430,193).",Pain reports,2;4,,Journal Article
40289841,2025,Metformin and risk factors for chronic kidney disease in a European population based on Mendelian randomization.,Renal failure,1;2;10;16,,Journal Article
40289092,2025,Circulating linoleic acid and its interplay with gut microbiota during pregnancy for gestational diabetes mellitus.,BMC medicine,1;2;15,,Journal Article
40289090,2025,Association between lipid-lowering drug targets and the risk of cystic kidney disease: a drug-target Mendelian randomization analysis.,Renal failure,1;2;10,,Journal Article
40288303,2025,Serum metabolites and risk of sudden sensorineural hearing loss: A Mendelian randomization study.,Brazilian journal of otorhinolaryngology,2;10;18,,Journal Article
40287509,2025,Tracing the pathways: how inflammatory cytokines and blood metabolites drive intervertebral disc degeneration.,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",2,,Journal Article
