pubmed_id,year,title,journal,themes,subthemes,publication_types
40696436,2025,Impact of genetic risk and lifestyles on cardiovascular disease-free and total life expectancy: a cohort study.,Genome medicine,1;2;11,,"Journal Article;Research Support, Non-U.S. Gov't"
40677177,2025,[A prospective study of impact of spicy food intake on risk for cardio/cerebrovascular disease in residents aged 30-79 years].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;14,,English Abstract;Journal Article
40674590,2025,Prospective associations of diabetes with 15 cancers in 2.2 million UK and Chinese adults.,Journal of the National Cancer Institute,1;5,,Journal Article
40598486,2025,Risk thresholds for soft versus hard cardiovascular disease outcome models for initiating statin therapy among Chinese adults: a cost-utility analysis.,BMC medicine,1;14,,Journal Article
40577674,2025,Genetic Risk and Prognosis of the First Incident Stroke Survivors: Findings from China Kadoorie Biobank and UK Biobank.,Neurology,1;2;14,14.2-stroke-cerebro,Journal Article
40564116,2025,Association Between Gut Microbiota and Chronic Kidney Disease: A Two-Sample Mendelian Randomization Study in a Chinese Population.,Biomedicines,1;2;10,,Journal Article
40519626,2025,"Hyperuricemia, gout and the associated comorbidities in China: findings from a prospective study of 0.5 million adults.",The Lancet regional health. Western Pacific,1,,Journal Article
40518384,2025,[Prevalence and influencing factors of preserved ratio impaired spirometry in adults aged 40 years and above in 10 areas in China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,6,,English Abstract;Journal Article
40509832,2025,[Prospective association between physical activity and mortality in patients with chronic obstructive pulmonary disease].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,7;13,,English Abstract;Journal Article
40486490,2025,Association of greenness with incidence of cardiovascular disease in China: Evidence from the China Kadoorie Biobank prospective cohort study with 0.5 million adults.,Eco-Environment & Health,1;6;14,,Journal Article
40465188,2025,All-cause and cause-specific mortality in individuals with COPD in China: a 16-year follow-up cohort study.,European journal of epidemiology,13,,Journal Article
40447325,2025,"Lung development genes, adult lung function and cardiovascular comorbidities.",Thorax,1,,Journal Article
40447121,2025,Socioeconomic disparities in the associations of age at last live birth with stroke and its subtypes among Chinese parous postmenopausal women: A prospective cohort study.,Experimental gerontology,1;6;14,14.2-stroke-cerebro,Journal Article
40379147,2025,Associations of Alcohol Consumption and Genetic Predisposition to Hepatic Steatosis With Liver-Related Events: Results From Large Population-Based Cohort Studies.,Gastroenterology,2,,Journal Article
40368811,2025,Association of short-term air pollution with risk of major adverse cardiovascular event mortality and modification effects of lifestyle in Chinese adults.,Environmental health and preventive medicine,1;19,,Journal Article
40334539,2025,Particulate matter and their interaction of physical activity on ovarian cancer survival: A prospective cohort study.,Ecotoxicology and environmental safety,5;7;19,,Journal Article
